id,poj_input,poj_unicode,tailo_input,tailo_unicode,hanlo,hoagi,from
5374,sio2-pau,sió-pau,sio2-pau,sió-pau,小包,包裹,Chenwujack Chen
5375,Hu2- giok8,Hú- gio̍k,Hu2- giok8,Hú- gio̍k,府玉,冰糖,Chenwujack Chen
5376,chui2-kui2-a2-sann,chúi-kúi-á-saⁿ,tsui2-kui2-a2-sann,tsuí-kuí-á-sann,水鬼仔衫,潛水衣,Chenwujack Chen
5377,hai2-kau2,hái-káu,hai2-kau2,hái-káu,海狗,海豹,Chenwujack Chen
5378,peh-kha-hi5,peh-kha-hî,peh-kha-hi5,peh-kha-hî,八跤魚,章魚,Chenwujack Chen
5379,sui5-ji7-thak8,sûi-jī-tha̍k,sui5-ji7-thak8,suî-jī-tha̍k,隨字讀,一字一字讀,Chenwujack Chen
5380,poann3-thit-tho5,pòaⁿ-thit-thô,puann3-thit-tho5,puànn-thit-thô,半𨑨迌,打零工,Chenwujack Chen
5381,chiah8-ho2-liau7,chia̍h-hó-liāu,tsiah8-ho2-liau7,tsia̍h-hó-liāu,食好料,吃大餐,Chenwujack Chen
5382,chiah8-chhenn-chhau,chia̍h-chheⁿ-chhau,tsiah8-tshenn-tshau,tsia̍h-tshenn-tshau,食腥臊,吃大餐,Chenwujack Chen
5383,chiah8 toa7-toh,chia̍h tōa-toh,tsiah8 tua7-toh,tsia̍h tuā-toh,食大桌,吃大餐,Chenwujack Chen
5384,chiah8- toa7- tng3/chiah8- toa7-tuinn3,chia̍h- tōa- tǹg/chia̍h- tōa-tùiⁿ,tsiah8- tua7- tng3/tsiah8- tua7-tuinn3,tsia̍h- tuā- tǹg/tsia̍h- tuā-tuìnn,食大頓,吃大餐,Chenwujack Chen
5385,koe-chi2 iam5,koe-chí iâm,kue-tsi2 iam5,kue-tsí iâm,果子鹽,小蘇打,Chenwujack Chen
5386,soann-niau,soaⁿ-niau,suann-niau,suann-niau,山貓,整地機,Chenwujack Chen
5387,chiah8 kam-a2,chia̍h kam-á,tsiah8 kam-a2,tsia̍h kam-á,食柑仔,中國人,Chenwujack Chen
5388,kha3 -ki -a2,khà -ki -á,kha3 -ki -a2,khà -ki -á,敲機仔,打手機,Chenwujack Chen
5389,khoo-ki-a2,kho͘-ki-á,khoo-ki-a2,khoo-ki-á,呼機仔,打手機,Chenwujack Chen
5390,hoo7-soann3 chhiu7,hō͘-sòaⁿ chhiū,hoo7-suann3 tshiu7,hōo-suànn tshiū,雨傘樹,小葉欖仁,Chenwujack Chen
5391,chhau3 ioh8-oan5-a2,chhàu io̍h-oân-á,tshau3 ioh8-uan5-a2,tshàu io̍h-uân-á,臭藥丸仔,征露丸,Chenwujack Chen
5392,ke-moo-kong2-a2,ke-mo͘-kóng-á,ke-moo-kong2-a2,ke-moo-kóng-á,雞毛管仔,膠囊,Chenwujack Chen
5393,hoo7-soann3-tiam3,hō͘-sòaⁿ-tiàm,hoo7-suann3-tiam3,hōo-suànn-tiàm,雨傘店,不定時商店,Chenwujack Chen
5394,tau7-chhai3 ge5,tāu-chhài gê,tau7-tshai3 ge5,tāu-tshài gê,豆菜芽,樂譜,Chenwujack Chen
5395,tian7-soann3 phoe,tiān-sòaⁿ phoe,tian7-suann3 phue,tiān-suànn phue,電線批,電報,Chenwujack Chen
5396,che7-kio7,chē-kiō,tse7-kio7,tsē-kiō,坐轎,參選,Chenwujack Chen
5397,chiah8 to-a2-bah,chia̍h to-á-bah,tsiah8 to-a2-bah,tsia̍h to-á-bah,食刀仔肉,手術,Chenwujack Chen
5398,khui-to,khui-to,khui-to,khui-to,開刀,手術,Chenwujack Chen
5399,thai5-koah,thâi-koah,thai5-kuah,thâi-kuah,刣割,手術,Chenwujack Chen
5400,pau-toa3,pau-tòa,pau-tua3,pau-tuà,包帶,繃帶,Chenwujack Chen
5401,kun2-ioh8-chui2,kún-io̍h-chúi,kun2-ioh8-tsui2,kún-io̍h-tsuí,滾藥水,雙氧水,Chenwujack Chen
5402,ka-ki7- nauh,ka-kī- nauh,ka-ki7- nauh,ka-kī- nauh,家己喃,自言自語,匿名
5403,lian2-chinn5,lián-chîⁿ,lian2-tsinn5,lián-tsînn,撚錢,A錢,Chenwujack Chen
5404,oai-ko-chinn5,oai-ko-chîⁿ,uai-ko-tsinn5,uai-ko-tsînn,歪哥錢,A錢,Chenwujack Chen
5405,chit8-e5  chit8-e5,chi̍t-ê  chi̍t-ê,tsit8-e5  tsit8-e5,tsi̍t-ê  tsi̍t-ê,一个一个,一一,Chenwujack Chen
5406,chit8-tiam2-tiam2-a2,chi̍t-tiám-tiám-á,tsit8-tiam2-tiam2-a2,tsi̍t-tiám-tiám-á,一點點仔,一丁點兒,Chenwujack Chen
5407,chit8-phi2-phi2-a2,chi̍t-phí-phí-á,tsit8-phi2-phi2-a2,tsi̍t-phí-phí-á,一庀庀仔,一丁點兒,Chenwujack Chen
5408,ban7-su7 sia3-loh8 toa7-hai2,bān-sū sià-lo̍h tōa-hái,ban7-su7 sia3-loh8 tua7-hai2,bān-sū sià-lo̍h tuā-hái,萬事卸落大海,一了百了,Chenwujack Chen
5409,chit8-lang5 kong2 chit8-oe7,chi̍t-lâng kóng chi̍t-oē,tsit8-lang5 kong2 tsit8-ue7,tsi̍t-lâng kóng tsi̍t-uē,一人講一話,一人一把號，各吹各的調,Chenwujack Chen
5410,chap8-chhe kiam koan2-ke,cha̍p-chhe kiam koán-ke,tsap8-tshe kiam kuan2-ke,tsa̍p-tshe kiam kuán-ke,雜差兼管家,一人班,Chenwujack Chen
5411,hau7-tiunn2 kiam kong3-cheng,hāu-tiúⁿ kiam kòng-cheng,hau7-tiunn2 kiam kong3-tsing,hāu-tiúnn kiam kòng-tsing,校長兼摃鐘,一人班,Chenwujack Chen
5412,chit8-e7-a2-kiann2,chi̍t-ē-á-kiáⁿ,tsit8-e7-a2-kiann2,tsi̍t-ē-á-kiánn,一下子囝,一下子,Chenwujack Chen
5413,cho3 chit8-chhui3,chò chi̍t-chhùi,tso3 tsit8-tshui3,tsò tsi̍t-tshuì,做一喙,一口吞下,Chenwujack Chen
5414,kap chit8-e7 thun-loh8,kap chi̍t-ē thun-lo̍h,kap tsit8-e7 thun-loh8,kap tsi̍t-ē thun-lo̍h,合一下吞落,一口吞下,Chenwujack Chen
5415,chit8-chhui3-khui3,chi̍t-chhùi-khùi,tsit8-tshui3-khui3,tsi̍t-tshuì-khuì,一喙氣,一口氣,Chenwujack Chen
5416,it-ma2 koa3 siang oann,it-má kòa siang oaⁿ,it-ma2 kua3 siang uann,it-má kuà siang uann,一馬掛雙鞍,一女事二夫,Chenwujack Chen
5417,chit8-e5 cha-boo2-kiann2 in2 nng7-e5 chhin-chiann5,chi̍t-ê cha-bó͘-kiáⁿ ín nn̄g-ê chhin-chiâⁿ,tsit8-e5 tsa-boo2-kiann2 in2 nng7-e5 tshin-tsiann5,tsi̍t-ê tsa-bóo-kiánn ín nn̄g-ê tshin-tsiânn,一个查某囝允兩个親情,一女事二夫,Chenwujack Chen
5418,chit8-chhok-a2,chi̍t-chhok-á,tsit8-tshok-a2,tsi̍t-tshok-á,一撮仔,一小撮,Chenwujack Chen
5419,"chit8-e5 soann-thau5,chit8-chiah chia3-koo","chi̍t-ê soaⁿ-thâu,chi̍t-chiah chià-ko͘","tsit8-e5 suann-thau5,tsit8-tsiah tsia3-koo","tsi̍t-ê suann-thâu,tsi̍t-tsiah tsià-koo","一个山頭,一隻鷓鴣",一山不容二虎,Chenwujack Chen
5420,chheh -chu7-a2,chheh -chū-á,tsheh -tsu7-a2,tsheh -tsū-á,冊苴仔,墊板,Chenwujack Chen
5421,toa7-thau5-teng,tōa-thâu-teng,tua7-thau5-ting,tuā-thâu-ting,大頭釘,圖釘,Chenwujack Chen
5422,iah8-tiunn5,ia̍h-tiûⁿ,iah8-tiunn5,ia̍h-tiûnn,役場,公所,Chenwujack Chen
5423,phek-lek8,phek-le̍k,phik-lik8,phik-li̍k,霹靂,霹靂,匿名
5424,chhoo-choa2,chho͘-chóa,tshoo-tsua2,tshoo-tsuá,粗紙,砂紙,Chenwujack Chen
5425,hoo7-khau2 phoo7-a2,hō͘-kháu phō͘-á,hoo7-khau2 phoo7-a2,hōo-kháu phōo-á,戶口簿仔,戶口名簿,Chenwujack Chen
5426,hoo7-khau2 chheh,hō͘-kháu chheh,hoo7-khau2 tsheh,hōo-kháu tsheh,戶口冊,戶口名簿,Chenwujack Chen
5427,kek-ah phoo7-a2,kek-ah phō͘-á,kek-ah phoo7-a2,kek-ah phōo-á,家甲簿仔,戶口名簿,Chenwujack Chen
5428,kng-kio7,kng-kiō,kng-kio7,kng-kiō,扛轎,助選,Chenwujack Chen
5429,chheng7 un7-tong7-e5,chhēng ūn-tōng-ê,tshing7 un7-tong7-e5,tshīng ūn-tōng-ê,穿運動鞋,助選,Chenwujack Chen
5430,oo-ta-choa5,o͘-ta-chôa,oo-ta-tsua5,oo-ta-tsuâ,烏焦蛇,烏腳病,Chenwujack Chen
5431,kun5-thau5 ko-ko chai7-siong7,kûn-thâu ko-ko chāi-siōng,kun5-thau5 ko-ko tsai7-siong7,kûn-thâu ko-ko tsāi-siōng,拳頭高高在上,一山還比一山高,Chenwujack Chen
5432,"thinn-goa7 u7-thinn,lang5 goa7 u7 lang5","thiⁿ-gōa ū-thiⁿ,lâng gōa ū lâng","thinn-gua7 u7-thinn,lang5 gua7 u7 lang5","thinn-guā ū-thinn,lâng guā ū lâng","天外有天,人外有人",一山還比一山高,Chenwujack Chen
5433,"it put chok,ji7 put hiu","it put chok,jī put hiu","it put tsok,ji7 put hiu","it put tsok,jī put hiu","一不作,二不休","一不作,二不休",Chenwujack Chen
5434,"chit8-tiam2 ia7 niau,pah-tiam2 ia7 niau","chi̍t-tiám iā niau,pah-tiám iā niau","tsit8-tiam2 ia7 niau,pah-tiam2 ia7 niau","tsi̍t-tiám iā niau,pah-tiám iā niau","一點也貓,百點也貓","一不作,二不休",Chenwujack Chen
5435,it goo7 it chap8,it gō͘ it cha̍p,it goo7 it tsap8,it gōo it tsa̍p,一五一十,一五一十,Chenwujack Chen
5436,it goo7 ji7 koan3 chhit,it gō͘ jī koàn chhit,it goo7 ji7 kuan3 tshit,it gōo jī kuàn tshit,一五二貫七,一五一十,Chenwujack Chen
5437,chit8-khang chit8 khiah,chi̍t-khang chi̍t khiah,tsit8-khang tsit8 khiah,tsi̍t-khang tsi̍t khiah,一空一隙,一五一十,Chenwujack Chen
5438,"tit8-chhau2 bo5-ni,hoainn5-chhau2 bo5 liam3","ti̍t-chháu bô-ni,hoâiⁿ-chháu bô liàm","tit8-tshau2 bo5-ni,huainn5-tshau2 bo5 liam3","ti̍t-tsháu bô-ni,huâinn-tsháu bô liàm","直草無拈,橫草無捻",一介不取,Chenwujack Chen
5439,u7-kang chiu7-u7 hu,ū-kang chiū-ū hu,u7-kang tsiu7-u7 hu,ū-kang tsiū-ū hu,有工就有夫,"一分耕耘,一分收穫",Chenwujack Chen
5440,"u7-chiah8 u7 kiann5-khi3,u7 sio-hiunn u7 po2-pi3","ū-chia̍h ū kiâⁿ-khì,ū sio-hiuⁿ ū pó-pì","u7-tsiah8 u7 kiann5-khi3,u7 sio-hiunn u7 po2-pi3","ū-tsia̍h ū kiânn-khì,ū sio-hiunn ū pó-pì","有食有行氣,有燒香有保庇","一分耕耘,一分收穫",Chenwujack Chen
5441,"kut-lat8 chiah8-lat8,pan5-toann7 thun-noa7","kut-la̍t chia̍h-la̍t,pân-tōaⁿ thun-nōa","kut-lat8 tsiah8-lat8,pan5-tuann7 thun-nua7","kut-la̍t tsia̍h-la̍t,pân-tuānn thun-nuā","骨力食栗,貧惰吞瀾","一分耕耘,一分收穫",Chenwujack Chen
5442,chit8-kang kau3-am3,chi̍t-kang kàu-àm,tsit8-kang kau3-am3,tsi̍t-kang kàu-àm,一工到暗,一天到晚,Chenwujack Chen
5443,it-sim nng7 iong7,it-sim nn̄g iōng,it-sim nng7 iong7,it-sim nn̄g īong,一心二用,一心二用,Chenwujack Chen
5444,"ia7-beh koo3 chun5,ia7-beh koo3 chai3","iā-beh kò͘ chûn,iā-beh kò͘ chài","ia7-beh koo3 tsun5,ia7-beh koo3 tsai3","iā-beh kòo tsûn,iā-beh kòo tsài","也欲顧船,也欲顧載",一心二用,Chenwujack Chen
5445,nng7 poo7 chhit-a2,nn̄g pō͘ chhit-á,nng7 poo7 tshit-a2,nn̄g pōo tshit-á,兩步七仔,一手,Chenwujack Chen
5446,kng koann-chha5 kiam bau7 khau3,kng koaⁿ-chhâ kiam bāu khàu,kng kuann-tsha5 kiam bau7 khau3,kng kuann-tshâ kiam bāu khàu,扛棺柴兼貿哭,一手包辦,Chenwujack Chen
5447,hau7-tiunn2 kiam kong3 cheng,hāu-tiúⁿ kiam kòng cheng,hau7-tiunn2 kiam kong3 tsing,hāu-tiúnn kiam kòng tsing,校長兼摃鐘,一手包辦,Chenwujack Chen
5448,chit8-chhiu2 pau-pan7,chi̍t-chhiú pau-pān,tsit8-tshiu2 pau-pan7,tsi̍t-tshiú pau-pān,一手包辦,一手包辦,Chenwujack Chen
5449,chap8-chhe kiam koan2-ke,cha̍p-chhe kiam koán-ke,tsap8-tshe kiam kuan2-ke,tsa̍p-tshe kiam kuán-ke,雜差兼管家,一手包辦,Chenwujack Chen
5450,khoo3-te2 te7 pong7-chi2,khò͘-té tē pōng-chí,khoo3-te2 te7 pong7-tsi2,khòo-té tē pōng-tsí,褲底袋磅子,一文不名,Chenwujack Chen
5451,lak-te7-a2 te7 pong7-chi2,lak-tē-á tē pōng-chí,lak-te7-a2 te7 pong7-tsi2,lak-tē-á tē pōng-tsí,橐袋仔袋磅子,一文不名,Chenwujack Chen
5452,m7-tat8 sann-sian2 chinn5,m̄-ta̍t saⁿ-sián chîⁿ,m7-tat8 sann-sian2 tsinn5,m̄-ta̍t sann-sián tsînn,毋值三仙錢,一文不值,Chenwujack Chen
5454,chit8-jit8 sann hang5-cheng5,chi̍t-ji̍t saⁿ hâng-chêng,tsit8-jit8 sann hang5-tsing5,tsi̍t-ji̍t sann hâng-tsîng,一日三行情,一日三市,Chenwujack Chen
5455,"goo7-si5 cho3-ioh8,lak8-si5 cho3-chioh8","gō͘-sî chò-io̍h,la̍k-sî chò-chio̍h","goo7-si5 tso3-ioh8,lak8-si5 tso3-tsioh8","gōo-sî tsò-io̍h,la̍k-sî tsò-tsio̍h","五時做藥,六時做石",一日三市,Chenwujack Chen
5456,it-jit8 put-kian3 ju5 sann chhiu,it-ji̍t put-kiàn jû saⁿ chhiu,it-jit8 put-kian3 ju5 sann tshiu,it-ji̍t put-kiàn jû sann tshiu,一日不見如三秋,一日不見，如隔三秋,Chenwujack Chen
5457,sann-jit8 put-kian3 kiu2 liu-liu,saⁿ-ji̍t put-kiàn kiú liu-liu,sann-jit8 put-kian3 kiu2 liu-liu,sann-ji̍t put-kiàn kiú liu-liu,三日不見久溜溜,一日不見，如隔三秋,Chenwujack Chen
5458,sann cho3 si3 hioh,saⁿ chò sì hioh,sann tso3 si3 hioh,sann tsò sì hioh,三做四歇,一日打魚，三日晒網,Chenwujack Chen
5459,"chit8-jit8 tho2-hai2,sann-jit8 phak8-bang7","chi̍t-ji̍t thó-hái,saⁿ-ji̍t pha̍k-bāng","tsit8-jit8 tho2-hai2,sann-jit8 phak8-bang7","tsi̍t-ji̍t thó-hái,sann-ji̍t pha̍k-bāng","一日討海,三日曝網",一日打魚，三日晒網,Chenwujack Chen
5460,"chit8-jit8 liah8-hi5,sann-jit8 phak8-bang7","chi̍t-ji̍t lia̍h-hî,saⁿ-ji̍t pha̍k-bāng","tsit8-jit8 liah8-hi5,sann-jit8 phak8-bang7","tsi̍t-ji̍t lia̍h-hî,sann-ji̍t pha̍k-bāng","一日掠魚,三日曝網",一日打魚，三日晒網,Chenwujack Chen
5461,"chit8-jit8 phah-chiau2,sann-jit8 ban2-moo","chi̍t-ji̍t phah-chiáu,saⁿ-ji̍t bán-mo͘","tsit8-jit8 phah-tsiau2,sann-jit8 ban2-moo","tsi̍t-ji̍t phah-tsiáu,sann-ji̍t bán-moo","一日拍鳥,三日挽毛",一日打魚，三日晒網,Chenwujack Chen
5462,pi2-li5-khiap-sai2,pí-lî-khiap-sái,pi2-li5-khiap-sai2,pí-lî-khiap-sái,鄙厘怯屎,一毛不拔,Chenwujack Chen
5463,"kan-ta beh poah8-poe,m7-kam tiam2 chit8-ki-hiunn","kan-ta beh poa̍h-poe,m̄-kam tiám chi̍t-ki-hiuⁿ","kan-ta beh puah8-pue,m7-kam tiam2 tsit8-ki-hiunn","kan-ta beh pua̍h-pue,m̄-kam tiám tsi̍t-ki-hiunn","干焦欲跋桮,毋甘點一枝香",一毛不拔,Chenwujack Chen
5464,chit8-e5 chinn5 phah jiap8 si3 e5 kat,chi̍t-ê chîⁿ phah jia̍p sì ê kat,tsit8-e5 tsinn5 phah jiap8 si3 e5 kat,tsi̍t-ê tsînn phah jia̍p sì ê kat,一个錢拍廿四个結,一毛不拔,Chenwujack Chen
5465,khi3-khun3,khì-khùn,khi3-khun3,khì-khùn,去睏,去睡覺,Chenwujack Chen
5466,ang-a2-boo2 kang7 sim,ang-á-bó͘ kāng sim,ang-a2-boo2 kang7 sim,ang-á-bóo kāng sim,翁仔某仝心,夫妻同心,Chenwujack Chen
5467,sia2 kong-kho3,siá kong-khò,sia2 kong-kho3,siá kong-khò,寫功課,寫功課,Chenwujack Chen
5468,au7 chit8-e5,aū chi̍t-ê,au7 tsit8-e5,āu tsi̍t-ê,後一个,下一個,Chenwujack Chen
5469,chui2-chun7-a2,chúi-chūn-á,tsui2-tsun7-a2,tsuí-tsūn-á,水捘仔,水龍頭,Chenwujack Chen
5470,tian7-si7 chun7 a2,tiān-sī chūn á,tian7-si7 tsun7 a2,tiān-sī tsūn á,電視捘仔,電視遙控器,Chenwujack Chen
5471,chui2-chun7-a2-thau5,chúi-chūn-á-thâu,tsui2-tsun7-a2-thau5,tsuí-tsūn-á-thâu,水捘仔頭,水龍頭,Chenwujack Chen
5472,sio-pau,sio-pau,sio-pau,sio-pau,燒包,暖暖包,匿名
5473,moa2-iunn5-tit8-kai3,móa-iûⁿ-ti̍t-kài,mua2-iunn5-tit8-kai3,muá-iûnn-ti̍t-kài,滿洋直蓋,一片汪洋,Chenwujack Chen
5474,chui2-ong-ong-lau5,chúi-ong-ong-lâu,tsui2-ong-ong-lau5,tsuí-ong-ong-lâu,水汪汪流,一片汪洋,Chenwujack Chen
5475,soann3-ia7-ia7,sòaⁿ-iā-iā,suann3-ia7-ia7,suànn-iā-iā,散掖掖,一片狼藉,Chenwujack Chen
5476,hoe-si-hiat-kai2,hoe-si-hiat-kái,hue-si-hiat-kai2,hue-si-hiat-kái,花施血解,一片狼藉,Chenwujack Chen
5477,hng-hng-hinn3-hinn3,hng-hng-hìⁿ-hìⁿ,hng-hng-hinn3-hinn3,hng-hng-hìnn-hìnn,荒荒挕挕,一片狼藉,Chenwujack Chen
5478,hng-hng-hui3-hui3,hng-hng-hùi-hùi,hng-hng-hui3-hui3,hng-hng-huì-huì,荒荒廢廢,一片狼藉,Chenwujack Chen
5479,hoe-hoe-hinn3-hinn3,hoe-hoe-hìⁿ-hìⁿ,hue-hue-hinn3-hinn3,hue-hue-hìnn-hìnn,花花挕挕,一片狼藉,Chenwujack Chen
5480,soann3-phong2-phong2,sòaⁿ-phóng-phóng,suann3-phong2-phong2,suànn-phóng-phóng,散滂滂,一片狼藉,Chenwujack Chen
5481,soann3-phun2-phun2,sòaⁿ-phún-phún,suann3-phun2-phun2,suànn-phún-phún,散翸翸,一片狼藉,Chenwujack Chen
5482,hoo5-chhe-chhe,hô͘-chhe-chhe,hoo5-tshe-tshe,hôo-tshe-tshe,鬍叉叉,一片狼藉,Chenwujack Chen
5483,hoo5-sap8-sap8,hô͘-sa̍p-sa̍p,hoo5-sap8-sap8,hôo-sa̍p-sa̍p,鬍屑屑,一片狼藉,Chenwujack Chen
5484,hoo5-nah-sannh,hô͘-nah-sannh,hoo5-nah-sannh,hôo-nah-sannh,鬍爁喢,一片狼藉,Chenwujack Chen
5485,"chit8-lang5 thoan5 hi,pah-lang5 thoan5 sit8","chi̍t-lâng thoân hi,pah-lâng thoân si̍t","tsit8-lang5 thuan5 hi,pah-lang5 thuan5 sit8","tsi̍t-lâng thuân hi,pah-lâng thuân si̍t",一人傳虛，百人傳實,一犬吠影，眾犬吠聲,Chenwujack Chen
5486,"it khian2 pui7 iann2,pah khian2 pui7 siann","it khián pūi iáⁿ,pah khián pūi siaⁿ","it khian2 pui7 iann2,pah khian2 pui7 siann","it khián puī iánn,pah khián puī siann",一犬吠影，百犬吠聲,一犬吠影，眾犬吠聲,Chenwujack Chen
5487,"chng-thau5 liah8-ti,chng-boe2 kau2 chham tit pui7","chng-thâu lia̍h-ti,chng-bóe káu chham tit pūi","tsng-thau5 liah8-ti,tsng-bue2 kau2 tsham tit pui7","tsng-thâu lia̍h-ti,tsng-bué káu tsham tit puī","庄頭掠豬,庄尾狗參得吠",一犬吠影，眾犬吠聲,Chenwujack Chen
5488,chhit a7 peh a7,chhit ā peh ā,tshit a7 peh a7,tshit ā peh ā,七也八也,一丘之貉,Chenwujack Chen
5489,choa5-khang thau3 niau2-chhi2 a2 siu7,chôa-khang thàu niáu-chhí á siū,tsua5-khang thau3 niau2-tshi2 a2 siu7,tsuâ-khang thàu niáu-tshí á siū,蛇空透鳥鼠仔岫,一丘之貉,Chenwujack Chen
5490,"it li2 thong,ban7 li2 thiat","it lí thong,bān lí thiat","it li2 thong,ban7 li2 thiat","it lí thong,bān lí thiat","一理通,萬理徹",一以貫之,Chenwujack Chen
5491,it-khi3 p hoe5-thau5,it-khì p hôe-thâu,it-khi3 p hue5-thau5,it-khì p huê-thâu,一去不回頭,一去不返,Chenwujack Chen
5492,chit8 peh8 im3 kau2 chhiah,chi̍t pe̍h ìm káu chhiah,tsit8 peh8 im3 kau2 tshiah,tsi̍t pe̍h ìm káu tshiah,一百蔭九赤,一白遮百醜,Chenwujack Chen
5493,It-sim ji7-iong7,It-sim jī-iōng,It-sim ji7-iong7,It-sim jī-iōng,一心二用,一心二用,匿名
5494,Ang5-teng-khu,Âng-teng-khu,Ang5-teng-khu,Âng-teng-khu,紅燈區,紅燈區,匿名
5495,Tok8-kok,To̍k-kok,Tok8-kok,To̍k-kok,獨國,德國,匿名
5496,Tok8-ek8,To̍k-e̍k,Tok8-ek8,To̍k-e̍k,獨逸,德國,匿名
5497,Tok8-it,To̍k-it,Tok8-it,To̍k-it,獨乙,德國,匿名
5498,Tek-i3-chi3,Tek-ì-chì,Tik-i3-tsi3,Tik-ì-tsì,德意志,德國,匿名
5499,koan-soo3,koan-sò͘,kuan-soo3,kuan-sòo,關數,函數,匿名
5500,bo5 kip8-keh,bô ki̍p-keh,bo5 kip8-keh,bô ki̍p-keh,無及格,考試不及格,匿名
5501,Koan5-lek8 Iu5-hi3,Koân-le̍k Iû-hì,Kuan5-lik8 Iu5-hi3,Kuân-li̍k Iû-hì,權力遊戲,權力遊戲,匿名
5502,Khoan5-lek8 Iu5-hi3,Khoân-le̍k Iû-hì,Khuan5-lik8 Iu5-hi3,Khuân-li̍k Iû-hì,權力遊戲,權力遊戲,匿名
5504,kok-ka-chu2-gi7,kok-ka-chú-gī,kok-ka-tsu2-gi7,kok-ka-tsú-gī,國家主義,國家主義,匿名
5505,Han5-kok-hi3,Hân-kok-hì,Han5-kok-hi3,Hân-kok-hì,韓國戲,韓劇,匿名
5506,ki-khi3 hak8-sip8,ki-khì ha̍k-si̍p,ki-khi3 hak8-sip8,ki-khì ha̍k-si̍p,機器學習,機器學習,匿名
5507,ki-hai7 hak8-sip8,ki-hāi ha̍k-si̍p,ki-hai7 hak8-sip8,ki-hāi ha̍k-si̍p,機械學習,機器學習,匿名
5508,cha-boo2 ian2-oan5,cha-bó͘ ián-oân,tsa-boo2 ian2-uan5,tsa-bóo ián-uân,查某演員,女演員,匿名
5509,lam5-ian2-oan5,lâm-ián-oân,lam5-ian2-uan5,lâm-ián-uân,男演員,男演員,匿名
5510,cha-poo ian2-oan5,cha-po͘ ián-oân,tsa-poo ian2-uan5,tsa-poo ián-uân,查埔演員,男演員,匿名
5511,Moo5 Tek8-tong,Mô͘ Te̍k-tong,Moo5 Tik8-tong,Môo Ti̍k-tong,毛澤東,毛澤東,匿名
5512,Sip8 Kin7-peng5,Si̍p Kīn-pêng,Sip8 Kin7-peng5,Si̍p Kīn-pêng,習近平,習近平,匿名
5513,ka-sok-too7,ka-sok-tō͘,ka-sok-too7,ka-sok-tōo,加速度,加速度,匿名
5514,peng5-kin sok-lut8,pêng-kin sok-lu̍t,ping5-kin sok-lut8,pîng-kin sok-lu̍t,平均速率,平均速率,匿名
5515,Chiu Kiat8-lun5,Chiu Kia̍t-lûn,Tsiu Kiat8-lun5,Tsiu Kia̍t-lûn,周杰倫,周杰倫,匿名
5517,sia7-kun5,siā-kûn,sia7-kun5,siā-kûn,社群,社群,匿名
5518,kok-ka kong-hng5,kok-ka kong-hn̂g,kok-ka kong-hng5,kok-ka kong-hn̂g,國家公園,國家公園,匿名
5519,jin5-kang ti3-leng5,jîn-kang tì-lêng,jin5-kang ti3-leng5,jîn-kang tì-lêng,人工智能,人工智慧,匿名
5520,peng5-kin sok-too7,pêng-kin sok-tō͘,ping5-kin sok-too7,pîng-kin sok-tōo,平均速度,平均速度,匿名
5521,Song3-su5,Sòng-sû,Song3-su5,Sòng-sû,宋詞,宋詞,匿名
5522,kok-lip8 kong-hng5,kok-li̍p kong-hn̂g,kok-lip8 kong-hng5,kok-li̍p kong-hn̂g,國立公園,國家公園,匿名
5523,jin5-kang sin5-keng bang7-loo7,jîn-kang sîn-keng bāng-lō͘,jin5-kang sin5-king bang7-loo7,jîn-kang sîn-king bāng-lōo,人工神經網路,人工神經網路,匿名
5524,Kho-ki-poo7,Kho-ki-pō͘,Kho-ki-poo7,Kho-ki-pōo,科技部,科技部,匿名
5525,Chheng-chhun-nia2,Chheng-chhun-niá,Tshing-tshun-nia2,Tshing-tshun-niá,青春嶺,青春嶺,匿名
5526,Ho5-lo2-oe7,Hô-ló-oē,Ho5-lo2-ue7,Hô-ló-uē,河老話,台語,匿名
5527,ka-hoat,ka-hoat,ka-huat,ka-huat,加法,加法,匿名
5528,A-la,A-la,A-la,A-la,阿拉,阿拉,匿名
5529,Tong5-si Sam-pek-siu2,Tông-si Sam-pek-siú,Tong5-si Sam-pik-siu2,Tông-si Sam-pik-siú,唐詩三百首,唐詩三百首,匿名
5530,Goan5-khek,Goân-khek,Guan5-khik,Guân-khik,元曲,元曲,匿名
5531,Sia7 Soat-hong5,Siā Soat-hông,Sia7 Suat-hong5,Siā Suat-hông,謝雪紅,謝雪紅,匿名
5532,Chhi5,Chhî,Tshi5,Tshî,徐,徐,匿名
5533,koa-a2-chheh,koa-á-chheh,kua-a2-tsheh,kua-á-tsheh,歌仔冊,歌仔冊,匿名
5534,chu2-koan5 cheng-gi7,chú-koân cheng-gī,tsu2-kuan5 tsing-gi7,tsú-kuân tsing-gī,主權爭議,主權爭議,匿名
5535,lim5-si5 cheng3-hu2,lîm-sî chèng-hú,lim5-si5 tsing3-hu2,lîm-sî tsìng-hú,臨時政府,臨時政府,匿名
5536,bu5-sun2 kiam2-chhek,bû-sún kiám-chhek,bu5-sun2 kiam2-tshik,bû-sún kiám-tshik,無損檢測,無損檢測,匿名
5537,tian7-nau2 hu2-choo7 kang-teng5,tiān-náu hú-chō͘ kang-têng,tian7-nau2 hu2-tsoo7 kang-ting5,tiān-náu hú-tsōo kang-tîng,電腦輔助工程,電腦輔助工程,匿名
