id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,hanlo_taibun_kiplmj,hoabun,from
4176,pōe-tē-mâu,poe7-te7-mau5,puē-tē-mâu,pue7-te7-mau5,培地茅,岩蘭草,匿名
4177,pōe-tē-mâu,poe7-te7-mau5,puē-tē-mâu,pue7-te7-mau5,培地茅,培地茅,匿名
4178,hiuⁿ-koe-á-sim,hiunn-koe-a2-sim,hiunn-kue-á-sim,hiunn-kue-a2-sim,香瓜仔心,龍鬚菜,匿名
4179,âng-pit,ang5-pit,âng-pit,ang5-pit,紅筆,紅筆,匿名
4180,góa bô chîⁿ,goa2 bo5 chinn5,guá bô tsînn,gua2 bo5 tsinn5,我無錢,我沒錢,匿名
4181,ban-ko͘,ban-koo,ban-koo,ban-koo,屘姑,小姑姑,匿名
4182,kauh jiō-chū-á,kauh jio7-chu7-a2,kauh jiō-tsū-á,kauh jio7-tsu7-a2,𩛩尿苴仔,包尿布,Payuholake Ukiam Len
4183,khò͘-lah,khoo3-lah,khòo-lah,khoo3-lah,khòo-lah,可樂,匿名
4184,á-tah,a2-tah,á-tah,a2-tah,á-tah,電源供應器,匿名
4185,kha-báng,kha-bang2,kha-báng,kha-bang2,kha-báng,包包,匿名
4186,nńg-chiáⁿ,nng2-chiann2,nńg-tsiánn,nng2-tsiann2,軟茈,軟茈,Ty Cooper
4187,chêng-jîn-cheh,cheng5-jin5-cheh,tsîng-jîn-tseh,tsing5-jin5-tseh,情人節,情人節,匿名
4188,chhàu-iû-ai,chhau3-iu5-ai,tshàu-iû-ai,tshau3-iu5-ai,臭油埃,油耗味,匿名
4190,i-chá-khá-iah,i-cha2-kha2-iah,i-tsá-khá-iah,i-tsa2-kha2-iah,i-tsá-khá-iah,居酒屋,匿名
4191,Hûn-sio,Hun5-sio,Hûn-sio,Hun5-sio,雲霄,雲霄,匿名
4192,saⁿ-cha̍p-mê / saⁿ-cha̍p-mî,sann-chap8-me5 / sann-chap8-mi5,sann-tsa̍p-mê / sann-tsa̍p-mî,sann-tsap8-me5 / sann-tsap8-mi5,三十暝,除夕,匿名
4193,nî-tau,ni5-tau,nî-tau,ni5-tau,年兜,除夕,匿名
4194,ji̍p-chîⁿ,jip8-chinn5,ji̍p-tsînn,jip8-tsinn5,入錢,儲值,匿名
4195,khe / ge,khe / ge,khe / ge,khe / ge,刮,揶揄,匿名
4196,pháu-chhia-le̍k-lō͘,phau2-chhia-lek8-loo7,pháu-tshia-li̍k-lōo,phau2-tshia-lik8-loo7,跑車碌路,舟車勞頓,匿名
4197,la-hi-la-hi,la-hi-la-hi,la-hi-la-hi,la-hi-la-hi,拉嘻拉嘻,屌兒啷噹,匿名
4198,la-hi-la-hi,la-hi-la-hi,la-hi-la-hi,la-hi-la-hi,拉嘻拉嘻,嬉皮笑臉,匿名
4199,la-hi-la-hi,la-hi-la-hi,la-hi-la-hi,la-hi-la-hi,拉嘻拉嘻,打馬虎眼,匿名
4200,kiap-sim-chèng,kiap-sim-cheng3,kiap-sim-tsìng,kiap-sim-tsing3,狹心症,心絞痛,匿名
4201,kiù-sim,kiu3-sim,kiù-sim,kiu3-sim,糾心,心絞痛,匿名
4202,io-chí chio̍h-á,io-chi2 chioh8-a2,io-tsí tsio̍h-á,io-tsi2 tsioh8-a2,腰子石仔,腎結石,匿名
4203,cha-bó͘-lí-á,cha-boo2-li2-a2,tsa-bóo-lí-á,tsa-boo2-li2-a2,查某李仔,人心果,匿名
4204,phīⁿ-sô / phī-sô,phinn7-so5 / phi7-so5,phīnn-sô / phī-sô,phinn7-so5 / phi7-so5,鼻趖,巴著,匿名
4205,tang-sî-á,tang-si5-a2,tang-sî-á,tang-si5-a2,當時仔,原來,匿名
4206,chhùi-chhiu-chat-á,chhui3-chhiu-chat-a2,tshuì-tshiu-tsat-á,tshui3-tshiu-tsat-a2,喙鬚節仔,鬍渣,匿名
4207,sió-tiám-á,sio2-tiam2-a2,sió-tiám-á,sio2-tiam2-a2,小點仔,小吃,匿名
4208,chāi-chéng,chai7-cheng2,tsāi-tsíng,tsai7-tsing2,在種,原生種,匿名
4209,tn̂g-bóe-soaⁿ-niû,tng5-boe2-soann-niu5,tn̂g-bué-suann-niû,tng5-bue2-suann-niu5,長尾山娘,臺灣藍雀,匿名
4210,bih-si̍t-hiā,bih-sit8-hia7,bih-si̍t-hiā,bih-sit8-hia7,覕翼蟻,隱翅蟲,匿名
4211,o͘-bui-á / o͘-bui--á,oo-bui-a2 / oo-bui--a2,oo-bui-á / oo-bui--á,oo-bui-a2 / oo-bui--a2,烏蝛仔,小黑蚊,匿名
4212,Mô͘-kiat,Moo5-kiat,Môo-kiat,Moo5-kiat,摩羯,摩羯,匿名
4213,Siang-hî,Siang-hi5,Siang-hî,Siang-hi5,雙魚,雙魚,匿名
4214,Bó͘-iûⁿ,Boo2-iunn5,Bóo-iûnn,Boo2-iunn5,牡羊,牡羊,匿名
4215,Sai-á,Sai-a2,Sai-á,Sai-a2,獅仔,獅子,匿名
4216,Sai-chú-hōe,Sai-chu2-hoe7,Sai-tsú-huē,Sai-tsu2-hue7,獅子會,獅子會,匿名
4217,Thian-gait,Thian-gait,Thian-gait,Thian-gait,天蠍,天蠍,匿名
4218,sòng-si,song3-si,sòng-si,song3-si,喪屍,喪屍,匿名
4219,kó͘-ló͘-so̍k-kó͘,koo2-loo2-sok8-koo2,kóo-lóo-so̍k-kóo,koo2-loo2-sok8-koo2,古魯碩古,老舊破爛,匿名
4220,hang-tû,hang-tu5,hang-tû,hang-tu5,烘櫥,烤箱,匿名
4221,piah-hó͘,piah-hoo2,piah-hóo,piah-hoo2,壁虎,膨脹螺絲,匿名
4222,seh-hoe,seh-hoe,seh-hue,seh-hue,雪花,下霙,匿名
4223,phôe-phôe-á thiaⁿ,phoe5-phoe5-a2 thiann,phuê-phuê-á thiann,phue5-phue5-a2 thiann,皮皮仔聽,隨便聽聽,匿名
4224,Siang-chú,Siang-chu2,Siang-tsú,Siang-tsu2,雙子,雙子,匿名
4225,ko͘-chiàm,koo-chiam3,koo-tsiàm,koo-tsiam3,孤佔,壟斷,匿名
4226,Kī-hē,Ki7-he7,Kī-hē,Ki7-he7,巨蟹,巨蟹,匿名
4227,chhia-poa̍h-péng,chhia-poah8-peng2,tshia-pua̍h-píng,tshia-puah8-ping2,捙跋反,煎熬,匿名
4228,sî-nî,si5-ni5,sî-nî,si5-ni5,辭年,除夕,匿名
4229,chhia-poaⁿ-iô-iô,chhia-poann-io5-io5,tshia-puann-iô-iô,tshia-puann-io5-io5,車搬搖搖,舟車勞頓,匿名
4230,sam-sèng-sam-hèng,sam-seng3-sam-heng3,sam-sìng-sam-hìng,sam-sing3-sam-hing3,sam-sìng-sam-hìng,煎熬,匿名
4231,giám-ngē,giam2-nge7,giám-ngē,giam2-nge7,儼硬,堅毅,匿名
4232,chiàm,chiam3,tsiàm,tsiam3,占,勸架,匿名
4233,ngiauh-kiauh,ngiauh-kiauh,ngiauh-kiauh,ngiauh-kiauh,ngiauh-kiauh,公主病,匿名
4234,siúⁿ-kim,siunn2-kim,siúnn-kim,siunn2-kim,賞金,獎金,匿名
4235,siúⁿ-kim,siunn2-kim,siúnn-kim,siunn2-kim,賞金,年終獎金,匿名
4236,lo̍h-seh-bí-á,loh8-seh-bi2-a2,lo̍h-seh-bí-á,loh8-seh-bi2-a2,落雪米仔,下霰,匿名
4237,lo̍h-chu-seh,loh8-chu-seh,lo̍h-tsu-seh,loh8-tsu-seh,落珠雪,下霰,匿名
4238,phùn-seh-sap-á,phun3-seh-sap-a2,phùn-seh-sap-á,phun3-seh-sap-a2,噴雪霎仔,下霰,匿名
4239,thok-thâu,thok-thau5,thok-thâu,thok-thau5,戳頭,點一下,匿名
4240,phôe-phôe,phoe5-phoe5,phuê-phuê,phue5-phue5,皮皮,隨便,匿名
4241,mā-koh-káⁿ,ma7-koh-kann2,mā-koh-kánn,ma7-koh-kann2,嘛閣敢,說不定,匿名
4242,chhn̍gh,chhngh8,tshn̍gh,tshngh8,tshn̍gh,吸鼻子,匿名
4243,án-kong,an2-kong,án-kong,an2-kong,俺公,爺爺,匿名
4244,tiān-iáⁿ-á,tian7-iann2-a2,tiān-iánn-á,tian7-iann2-a2,電影仔,微電影,匿名
4245,bî-tiān-iáⁿ,bi5-tian7-iann2,bî-tiān-iánn,bi5-tian7-iann2,微電影,微電影,匿名
4246,chha̍t-khò͘ / chha̍t-khiò,chhat8-khoo3 / chhat8-khio3,tsha̍t-khòo / tsha̍t-khiò,tshat8-khoo3 / tshat8-khio3,賊寇,賊寇,匿名
4247,nńg-lio̍h / núi-lio̍h,nng2-lioh8 / nui2-lioh8,nńg-lio̍h / nuí-lio̍h,nng2-lioh8 / nui2-lioh8,軟略,柔軟,匿名
4248,chhùi-tun,chhui3-tun,tshuì-tun,tshui3-tun,喙鈍,詞窮,匿名
4249,pit-tun,pit-tun,pit-tun,pit-tun,筆鈍,詞窮,匿名
4250,hó͘-thî,hoo2-thi5,hóo-thî,hoo2-thi5,滸苔,海苔,匿名
4251,Tâi-oân Bân-lâm-gí Siông-iōng-sû Sû-tián,Tai5-oan5 Ban5-lam5-gi2 Siong5-iong7-su5 Su5-tian2,Tâi-oân Bân-lâm-gí Siông-iōng-sû Sû-tián,Tai5-oan5 Ban5-lam5-gi2 Siong5-iong7-su5 Su5-tian2,臺灣閩南語常用詞辭典,臺灣閩南語常用詞辭典,Justin Richard Leung
4252,Kńg-chhiu,Kng2-chhiu,Kńg-tshiu,Kng2-tshiu,廣州,廣州,Justin Richard Leung
4253,Kî Ka-ui,Ki5 Ka-ui,Kî Ka-ui,Ki5 Ka-ui,祁家威,祁家威,匿名
4254,siáu-iú,siau2-iu2,siáu-iú,siau2-iu2,痟友,粉絲,匿名
4255,hâm,ham5,hâm,ham5,涵,涵,匿名
4256,ū--bô,u7--bo5,ū--bô,u7--bo5,有無,有沒有,匿名
4257,kán,kan2,kán,kan2,𡢃,奴婢,匿名
4258,góa sī iân-tâu-á sáng,goa2 si7 ian5-tau5-a2 sang2,guá sī iân-tâu-á sáng,gua2 si7 ian5-tau5-a2 sang2,我是緣投仔桑,我是帥哥,匿名
4259,sí tō-iú bô sí pîn-tō,si2 to7-iu2 bo5 si2 pin5-to7,sí tō-iú bô sí pîn-tō,si2 to7-iu2 bo5 si2 pin5-to7,死道友無死貧道,死道友不死貧道,匿名
4260,ām-kún-á-bah,am7-kun2-a2-bah,ām-kún-á-bah,am7-kun2-a2-bah,頷頸仔肉,脖子肉,匿名
4261,àm-an Tâi-oân,am3-an Tai5-oan5,àm-an Tâi-uân,am3-an Tai5-uan5,暗安台灣,晚安台灣,匿名
4262,sáⁿ-siâu,sann2-siau5,sánn-siâu,sann2-siau5,啥潲,三小,匿名
4263,àⁿ-thâu,ann3-thau5,ànn-thâu,ann3-thau5,向頭,低頭,匿名
4264,khiâ-chhia sè-jī,khia5-chhia se3-ji7,khiâ-tshia sè-jī,khia5-tshia se3-ji7,騎車細膩,騎車小心,匿名
4265,lô-im,lo5-im,lô-im,lo5-im,濁音,濁音,匿名
4266,pok hun,pok hun,pok hun,pok hun,噗薰,吸菸,匿名
4267,bah-kha,bah-kha,bah-kha,bah-kha,肉跤,肉腳,匿名
4268,kàu--ah,kau3--ah,kàu--ah,kau3--ah,到矣,到了,匿名
4269,chek thiāu-á,chek thiau7-a2,tsik thiāu-á,tsik thiau7-a2,擠𤶃仔,擠痘痘,匿名
4270,ke-thng,ke-thng,ke-thng,ke-thng,雞湯,雞湯,匿名
4271,ka hó-iú,ka ho2-iu2,ka hó-iú,ka ho2-iu2,加好友,加好友,匿名
4272,thuh-chhàu,thuh-chhau3,thuh-tshàu,thuh-tshau3,黜臭,吐槽,匿名
4273,bô-khó-lêng,bo5-kho2-leng5,bô-khó-lîng,bo5-kho2-ling5,無可能,不可能,匿名
4274,iáu--ē-sái,iau2--e7-sai2,iáu--ē-sái,iau2--e7-sai2,猶會使,還能,匿名
4275,chhài-chàng,chhai3-chang3,tshài-tsàng,tshai3-tsang3,菜粽,菜粽,匿名
4276,ná pûn ke-kui kāng-khoán,na2 pun5 ke-kui kang7-khoan2,ná pûn ke-kui kāng-khuán,na2 pun5 ke-kui kang7-khuan2,若歕雞胿仝款,像吹氣球一樣,匿名
4277,kóng siáⁿ,kong2 siann2,kóng siánn,kong2 siann2,講啥,講什麼,匿名
4278,sī beh àn-chóaⁿ oa̍h,si7 beh an3-choann2 oah8,sī beh àn-tsuánn ua̍h,si7 beh an3-tsuann2 uah8,是欲按怎活,是要怎麼活,匿名
4279,tê-bí-nn̄g,te5-bi2-nng7,tê-bí-nn̄g,te5-bi2-nng7,茶米卵,茶葉蛋,匿名
4280,ha̍k-seng-hōe,hak8-seng-hoe7,ha̍k-sing-huē,hak8-sing-hue7,學生會,學生會,匿名
4281,siau-hông-tūi-oân,siau-hong5-tui7-oan5,siau-hông-tuī-uân,siau-hong5-tui7-uan5,消防隊員,消防隊員,匿名
4282,lín-pē,lin2-pe7,lín-pē,lin2-pe7,恁爸,你爸,匿名
4283,tō--ê,to7--e5,tō--ê,to7--e5,導的,班導,匿名
4284,ha--lo͘h,ha--looh,ha--looh,ha--looh,哈囉,哈囉,匿名
4285,goán chòe-kīn beh pit-gia̍p--ah,goan2 choe3-kin7 beh pit-giap8--ah,guán tsuè-kīn beh pit-gia̍p--ah,guan2 tsue3-kin7 beh pit-giap8--ah,阮最近欲畢業矣,我們最近要畢業了,匿名
4286,chiâⁿ siong-sim,chiann5 siong-sim,tsiânn siong-sim,tsiann5 siong-sim,誠傷心,真傷心,匿名
4287,lí bē-bái,li2 be7-bai2,lí bē-bái,li2 be7-bai2,你袂䆀,你不錯,匿名
4288,chia̍h hun,chiah8 hun,tsia̍h hun,tsiah8 hun,食薰,吸菸,匿名
4289,góa beh khì Tâi-oân kiat-hun pān-toh,goa2 beh khi3 Tai5-oan5 kiat-hun pan7-toh,guá beh khì Tâi-uân kiat-hun pān-toh,gua2 beh khi3 Tai5-uan5 kiat-hun pan7-toh,我欲去台灣結婚辦桌,我要去台灣結婚辦酒席啊,匿名
4290,sì-niú ńg-á bô tî,si3-niu2 ng2-a2 bo5 ti5,sì-niú ńg-á bô tî,si3-niu2 ng2-a2 bo5 ti5,四兩鈗仔無除,自不量力,匿名
4291,e-àm chò-hóe khùn,e-am3 cho3-hoe2 khun3,e-àm tsò-hué khùn,e-am3 tso3-hue2 khun3,下暗做伙睏,今晚一起睡,匿名
4292,chin hoaⁿ-hí uī lí ho̍k-bū,chin hoann-hi2 ui7 li2 hok8-bu7,tsin huann-hí uī lí ho̍k-bū,tsin huann-hi2 ui7 li2 hok8-bu7,真歡喜為你服務,很高興為您服務,匿名
4293,chiok joa̍h,chiok joah8,tsiok jua̍h,tsiok juah8,足熱,好熱,匿名
4294,oē-tâng,oe7-tang5,uē-tâng,ue7-tang5,話筒,話筒,匿名
4295,tī tó-uī,ti7 to2-ui7,tī tó-uī,ti7 to2-ui7,佇佗位,在哪裡,匿名
4296,chū-ngó͘ si̍t-hiān,chu7-ngoo2 sit8-hian7,tsū-ngóo si̍t-hiān,tsu7-ngoo2 sit8-hian7,自我實現,自我實現,匿名
4297,hâng hâng chhut chiōng-goân,hang5 hang5 chhut chiong7-goan5,hâng hâng tshut tsiōng-guân,hang5 hang5 tshut tsiong7-guan5,行行出狀元,行行出狀元,匿名
4298,liáu-chîⁿ-hòe,liau2-chinn5-hoe3,liáu-tsînn-huè,liau2-tsinn5-hue3,了錢貨,賠錢貨,匿名
4299,seng-oa̍h si̍p-koàn,seng-oah8 sip8-koan3,sing-ua̍h si̍p-kuàn,sing-uah8 sip8-kuan3,生活習慣,生活習慣,匿名
4300,kháu-chō àm-bé,khau2-cho7 am3-be2,kháu-tsō àm-bé,khau2-tso7 am3-be2,口座暗碼,帳密,匿名
4301,hō͘ lâng khòaⁿ-hiān-hiān,hoo7 lang5 khoann3-hian7-hian7,hōo lâng khuànn-hiān-hiān,hoo7 lang5 khuann3-hian7-hian7,予人看現現,原形畢露,匿名
4302,mài khì,mai3 khi3,mài khì,mai3 khi3,莫去,不要去,匿名
4303,sú-iōng-lâng,su2-iong7-lang5,sú-iōng-lâng,su2-iong7-lang5,使用人,佣人,匿名
4304,ē-kha-chhiú-lâng,e7-kha-chhiu2-lang5,ē-kha-tshiú-lâng,e7-kha-tshiu2-lang5,下跤手人,佣人,匿名
4305,tùn-teⁿ--chi̍t-ē,tun3-tenn--chit8-e7,tùn-tenn--tsi̍t-ē,tun3-tenn--tsit8-e7,頓蹬一下,停頓一下,匿名
4306,bô lí chit-má ē-tàng chhì-khòaⁿ-māi,bo5 li2 chit-ma2 e7-tang3 chhi3-khoann3-mai7,bô lí tsit-má ē-tàng tshì-khuànn-māi,bo5 li2 tsit-ma2 e7-tang3 tshi3-khuann3-mai7,無你這馬會當試看覓,不然你現在可以試看看,匿名
4307,bô kā góa hòng chāi gán lāi,bo5 ka7 goa2 hong3 chai7 gan2 lai7,bô kā guá hòng tsāi gán lāi,bo5 ka7 gua2 hong3 tsai7 gan2 lai7,無共我放在眼內,不把我放在眼裡,匿名
4308,khùn-bîn bô-kàu,khun3-bin5 bo5-kau3,khùn-bîn bô-kàu,khun3-bin5 bo5-kau3,睏眠無夠,睡眠不足,匿名
4309,góa kan-na aì--lí,goa2 kan-na ai3--li2,guá kan-na ài--lí,gua2 kan-na ai3--li2,我干焦愛你,我只愛你,匿名
4310,bí-tē,bi2-te7,bí-tē,bi2-te7,米袋,米袋,匿名
4311,ū bái bô chi̍t hó,u7 bai2 bo5 chit8 ho2,ū bái bô tsi̍t hó,u7 bai2 bo5 tsit8 ho2,有䆀無一好,百害無一利,匿名
4312,su-tiūⁿ,su-tiunn7,su-tiūnn,su-tiunn7,師丈,師丈,匿名
4313,tōa káu pôaⁿ chhiûⁿ sè káu khòaⁿ iūⁿ,toa7 kau2 poann5 chhiunn5 se3 kau2 khoann3 iunn7,tuā káu puânn tshiûnn sè káu khuànn iūnn,tua7 kau2 puann5 tshiunn5 se3 kau2 khuann3 iunn7,大狗盤牆細狗看樣,上樑不正下樑歪,匿名
4314,chin hoaⁿ-hí kah lí se̍k-sāi,chin hoann-hi2 kah li2 sek8-sai7,tsin huann-hí kah lí si̍k-sāi,tsin huann-hi2 kah li2 sik8-sai7,真歡喜佮你熟似,很高興認識你,匿名
4315,kha-chhng-mo͘,kha-chhng-moo,kha-tshng-moo,kha-tshng-moo,尻川毛,屁股毛,匿名
4316,che sī gún tau,che si7 gun2 tau,tse sī gún tau,tse si7 gun2 tau,這是阮兜,這是我家,匿名
4317,ta̍uh-ta̍uh-á-kiâⁿ,tauh8-tauh8-a2-kiann5,ta̍uh-ta̍uh-á-kiânn,tauh8-tauh8-a2-kiann5,沓沓仔行,慢慢走,匿名
4318,ûn-ûn-á-kiâⁿ,un5-un5-a2-kiann5,ûn-ûn-á-kiânn,un5-un5-a2-kiann5,勻勻仔行,慢慢走,匿名
4319,tiāⁿ,tiann7,tiānn,tiann7,錠,大錨,匿名
4320,Lō͘-se-a tàu-sì-kak,Loo7-se-a tau3-si3-kak,Lōo-se-a tàu-sì-kak,Loo7-se-a tau3-si3-kak,露西亞鬥四角,俄羅斯方塊,Jou Ying-cheng
4321,tiâu-chhia,tiau5-chhia,tiâu-tshia,tiau5-tshia,牢車,拋錨,匿名
4322,pe̍h-phau-phau,peh8-phau-phau,pe̍h-phau-phau,peh8-phau-phau,白拋拋,白皙皙,匿名
4323,mê-mê-kak-kak,me5-me5-kak-kak,mê-mê-kak-kak,me5-me5-kak-kak,鋩鋩角角,眉眉角角,Jou Ying-cheng
4324,hā-kha-liāu,ha7-kha-liau7,hā-kha-liāu,ha7-kha-liau7,下跤料,下腳料,匿名
4325,khòaⁿ siáⁿ siâu,khoann3 siann2 siau5,khuànn siánn siâu,khuann3 siann2 siau5,看啥潲,看三小,匿名
4326,bô kiù--ah,bo5 kiu3--ah,bô kiù--ah,bo5 kiu3--ah,無救矣,沒救了,匿名
4327,ba̍k-chiu ū būn-tê,bak8-chiu u7 bun7-te5,ba̍k-tsiu ū būn-tê,bak8-tsiu u7 bun7-te5,目睭有問題,眼睛有問題,匿名
4328,kúi-chhe,kui2-chhe,kuí-tshe,kui2-tshe,鬼差,鬼差,匿名
4329,káng khoah chúi chhim,kang2 khoah chui2 chhim,káng khuah tsuí tshim,kang2 khuah tsui2 tshim,港闊水深,港闊水深,Jou Ying-cheng
4330,chòe-kīn hó--bô,choe3-kin7 ho2--bo5,tsuè-kīn hó--bô,tsue3-kin7 ho2--bo5,最近好無,最近好嗎,匿名
4331,hō͘ lāng khi-hū,hoo7 lang7 khi-hu7,hōo lāng khi-hū,hoo7 lang7 khi-hu7,予人欺負,被欺負,匿名
4332,sìn-iōng-khah,sin3-iong7-khah,sìn-iōng-khah,sin3-iong7-khah,信用卡,信用卡,匿名
4333,cheng-sîn-pēⁿ-īⁿ,cheng-sin5-penn7-inn7,tsing-sîn-pēnn-īnn,tsing-sin5-penn7-inn7,精神病院,精神病院,匿名
4334,ia̍p-sng,iap8-sng,ia̍p-sng,iap8-sng,葉酸,葉酸,匿名
4335,kiàm-kiap,kiam3-kiap,kiàm-kiap,kiam3-kiap,劍俠,劍俠,匿名
4336,kám ē chia̍h--tit,kam2 e7 chiah8--tit,kám ē tsia̍h--tit,kam2 e7 tsiah8--tit,敢會食得,能吃嗎,匿名
4337,pit-gia̍p-chèng-su,pit-giap8-cheng3-su,pit-gia̍p-tsìng-su,pit-giap8-tsing3-su,畢業證書,畢業證書,匿名
4338,hun-si,hun-si,hun-si,hun-si,分屍,分屍,匿名
4339,sè kan-lo̍k,se3 kan-lok8,sè kan-lo̍k,se3 kan-lok8,細干樂,小陀螺,匿名
4340,"si̍p liân siu tek tông chûn tō͘, pek liân siu tek kiōng chím biân","sip8 lian5 siu tek tong5 chun5 too7, pek lian5 siu tek kiong7 chim2 bian5","si̍p liân siu tik tông tsûn tōo, pik liân siu tik kiōng tsím biân","sip8 lian5 siu tik tong5 tsun5 too7, pik lian5 siu tik kiong7 tsim2 bian5",十年修得同船渡，百年修得共枕眠,十年修得同船渡，百年修得共枕眠,匿名
4341,chhòng siáⁿ lah,chhong3 siann2 lah,tshòng siánn lah,tshong3 siann2 lah,創啥啦,幹嘛啦,匿名
4342,chin hó khùn,chin ho2 khun3,tsin hó khùn,tsin ho2 khun3,真好睏,睡得很好,匿名
4343,khéng o̍h,kheng2 oh8,khíng o̍h,khing2 oh8,肯學,肯學,匿名
4344,ta-ke sin-pū,ta-ke sin-pu7,ta-ke sin-pū,ta-ke sin-pu7,大家新婦,婆媳,匿名
4345,khiā-nn̄g,khia7-nng7,khiā-nn̄g,khia7-nng7,徛卵,立蛋,匿名
4346,Ngó͘-si̍p-lâm,Ngoo2-sip8-lam5,Ngóo-si̍p-lâm,Ngoo2-sip8-lam5,五十嵐,五十嵐,Jou Ying-cheng
4347,kàu Lâm-káng ê tián-lám-koán ê koaⁿ-hong bāng-chām,kau3 Lam5-kang2 e5 tian2-lam2-koan2 e5 koann-hong bang7-cham7,kàu Lâm-káng ê tián-lám-kuán ê kuann-hong bāng-tsām,kau3 Lam5-kang2 e5 tian2-lam2-kuan2 e5 kuann-hong bang7-tsam7,到南港的展覽館的官方網站,到南港的展覽館的官方網站,Lin Hsuan-tung
4348,bē-sái chia̍h,be7-sai2 chiah8,bē-sái tsia̍h,be7-sai2 tsiah8,袂使食,不行吃,Jou Ying-cheng
4349,ē chhun-kiu,e7 chhun-kiu,ē tshun-kiu,e7 tshun-kiu,會伸勼,有彈性,Jou Ying-cheng
4350,sió kan-lo̍k,sio2 kan-lok8,sió kan-lo̍k,sio2 kan-lok8,小干樂,小陀螺,Jou Ying-cheng
4351,chhài-thâu,chhai3-thau5,tshài-thâu,tshai3-thau5,菜頭,白蘿蔔,Jou Ying-cheng
4352,chhun hā chhiu tang,chhun ha7 chhiu tang,tshun hā tshiu tang,tshun ha7 tshiu tang,春夏秋冬,春夏秋冬,匿名
4353,lim ka-pi,lim ka-pi,lim ka-pi,lim ka-pi,啉咖啡,喝咖啡,匿名
4354,tōa sin-pū,toa7 sin-pu7,tuā sin-pū,tua7 sin-pu7,大新婦,長媳,匿名
4355,Bān-liân-khe,Ban7-lian5-khe,Bān-liân-khe,Ban7-lian5-khe,萬年溪,萬年溪,匿名
4356,ba̍k-chiu kheh-kheh,bak8-chiu kheh-kheh,ba̍k-tsiu kheh-kheh,bak8-tsiu kheh-kheh,目睭瞌瞌,閉眼睛,匿名
4357,sè-kài bô hun ji̍t,se3-kai3 bo5 hun jit8,sè-kài bô hun ji̍t,se3-kai3 bo5 hun jit8,世界無薰日,世界無菸日,匿名
4358,oē-gí chi-tiong,oe7-gi2 chi-tiong,uē-gí tsi-tiong,ue7-gi2 tsi-tiong,話語之中,話語之中,匿名
4359,ha̍k-hāu ê kak--á,hak8-hau7 e5 kak--a2,ha̍k-hāu ê kak--á,hak8-hau7 e5 kak--a2,學校的角仔,學校的角落,匿名
4360,chit-sì-lâng,chit-si3-lang5,tsit-sì-lâng,tsit-si3-lang5,這世人,此生,匿名
4361,chi̍t kńg,chit8 kng2,tsi̍t kńg,tsit8 kng2,一捲,一捲,匿名
4362,ka-kī chò tit lâi,ka-ki7 cho3 tit lai5,ka-kī tsò tit lâi,ka-ki7 tso3 tit lai5,家己做得來,自食惡果,匿名
4363,im-iông-su,im-iong5-su,im-iông-su,im-iong5-su,陰陽師,陰陽師,匿名
4364,kong-hioh,kong-hioh,kong-hioh,kong-hioh,公歇,公休,匿名
4365,ū-kàu chán,u7-kau3 chan2,ū-kàu tsán,u7-kau3 tsan2,有夠讚,有夠讚,匿名
4366,hô-gû,ho5-gu5,hô-gû,ho5-gu5,和牛,和牛,匿名
4367,kē-siu-ji̍p-hō͘,ke7-siu-jip8-hoo7,kē-siu-ji̍p-hōo,ke7-siu-jip8-hoo7,低收入戶,低收入戶,匿名
4368,pêng-hêng-kám,peng5-heng5-kam2,pîng-hîng-kám,ping5-hing5-kam2,平衡感,平衡感,匿名
4369,gún a-kong,gun2 a-kong,gún a-kong,gun2 a-kong,阮阿公,我阿公,匿名
4370,than-chîⁿ hō͘ góa khai,than-chinn5 hoo7 goa2 khai,than-tsînn hōo guá khai,than-tsinn5 hoo7 gua2 khai,趁錢予我開,賺錢給我花,匿名
4371,oân-bí-sè-kài,oan5-bi2-se3-kai3,uân-bí-sè-kài,uan5-bi2-se3-kai3,完美世界,完美世界,匿名
4372,ji̍p hiong sûi sio̍k,jip8 hiong sui5 siok8,ji̍p hiong suî sio̍k,jip8 hiong sui5 siok8,入鄉隨俗,入境隨俗,匿名
4373,Chhó͘-kok,Chhoo2-kok,Tshóo-kok,Tshoo2-kok,楚國,楚國,匿名
4374,chi̍t hun-cheng,chit8 hun-cheng,tsi̍t hun-tsing,tsit8 hun-tsing,一分鐘,一分鐘,匿名
4375,kong-ke ang-sài,kong-ke ang-sai3,kong-ke ang-sài,kong-ke ang-sai3,公家翁婿,共事一夫,匿名
4376,Thô-hn̂g chia̍t-ūn,Tho5-hng5 chiat8-un7,Thô-hn̂g tsia̍t-ūn,Tho5-hng5 tsiat8-un7,桃園捷運,桃園捷運,匿名
4377,chhùi-phóe-âng,chhui3-phoe2-ang5,tshuì-phué-âng,tshui3-phue2-ang5,喙䫌紅,腮紅,匿名
4378,phêng-sím lāu-su,pheng5-sim2 lau7-su,phîng-sím lāu-su,phing5-sim2 lau7-su,評審老師,評審老師,匿名
4379,hō͘ tûn ko,hoo7 tun5 ko,hōo tûn ko,hoo7 tun5 ko,護脣膏,護唇膏,匿名
