"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HoaBun","EngBun","KaisoehEngbun","NounClassifier","LesuPoj","Opposite","LekuPoj","LekuEngbun","LekuHoabun","Confer","PageNumber"
"3468","móa chhut-lâi","","moa2 chhut-lai5","","muá tshut-lâi","","mua2 tshut-lai5","","滿出來","overflowing, to overflow","","","","","Tê lí m̄-thang thîn hō͘ móa--chhut-lâi","Don’t pour out the tea in such a way that it runs out of the cup (overflows).","茶你不要倒得滿出來","móa","476"
"3469","tīⁿ móa-móa","","tinn7 moa2-moa2","","tīnn muá-muá","","tinn7 mua2-mua2","","","very crowded","","","","","Sèng-tn̂g--lâi lâng tīⁿ-móa-móa.","The church is all crowded with people.","聖堂裡面的人滿滿的","móa","477"
"3470","móa-ì","boán-chiok","moa2-i3","boan2-chiok","muá-ì","buán-tsiok","mua2-i3","buan2-tsiok","滿意","satisfactory, to be satisfied","","","","","Án-ne lí ū móa-ì--bô? Nā bô móa-ì chhiáⁿ-lí m̄-bián kheh-khì kā góa kóng.","Are you satisfied with this? If you are not satisfied please don’t hesitate to say so.","這樣你滿意不？要是不滿意請你不客氣地告訴我。","","477"
"3471","móa-sì-kè","","moa2-si3-ke3","","muá-sì-kè","","mua2-si3-ke3","","到處","everywhere","","","","","Móa-sì-kè to ū hô͘-sîn.","There are flies all over the place.","到處都有蒼蠅","","477"
"3472","móa-móa-sī","","moa2-moa2-si7","","muá-muá-sī","","mua2-mua2-si7","","滿滿都是","everywhere in great abundance","","","","","Hô͘-sîn móa-móa-sī.","Everything is covered with flies.","滿滿都是蒼蠅","","477"
"3473","môe-kùi","mûi-kùi","moe5-kui3","mui5-kui3","muê-kuì","muî-kuì","mue5-kui3","mui5-kui3","玫瑰","a rose","","chi̍t lúi","","","","","","","477"
"3474","môe-kùi-keng","","moe5-kui3-keng","","muê-kuì-king","","mue5-kui3-king","","玫瑰經","rosary","","","","","","","","","478"
"3475","mōe-sài","","moe7-sai3","","muē-sài","","mue7-sai3","","妹婿","little sister's husband","","","chí-mōe/sió-mōe","","","","","","478"
"3476","chí-mōe","","chi2-moe7","","tsí-muē","","tsi2-mue7","","姐妹","sisters","","","","","","","","mōe-sài","478"
"3477","sió-mōe","","sio2-moe7","","sió-muē","","sio2-mue7","","妹妹","younger sister","","","","","","","","mōe-sài","478"
"3478","môe","","moe5","","muê","","mue5","","稀飯、粥","rice gruel","","","ám-môe/khó-môe","","","","","","478"
"3479","ám-môe","","am2-moe5","","ám-muê","","am2-mue5","","少米湯","thin rice gruel","","","","","","","","môe","478"
"3480","khó-môe","","kho2-moe5","","khó-muê","","kho2-mue5","","多米湯","thick rice gruel","","","","","","","","môe","478"
"3481","múi","ta̍k","mui2","tak8","muí","ta̍k","mui2","tak8","每、各","every","","","múi-ji̍t/múi-nî/múi-hôe","","","","","","478"
"3482","múi-ji̍t","","mui2-jit8","","muí-ji̍t","","mui2-jit8","","每日","every day","","","","","","","","múi","478"
"3483","múi-nî","","mui2-ni5","","muí-nî","","mui2-ni5","","每年","every year","","","","","","","","múi","478"
"3484","múi-hôe","","mui2-hoe5","","muí-huê","","mui2-hue5","","每次","every time","","","","","","","","múi","478"
"3485","mûi-hoe","","mui5-hoe","","muî-hue","","mui5-hue","","梅花","plum blossoms","","","","","","","","","478"
"3486","nā","","na7","","nā","","na7","","假如、若","if, very often ""[na7]"" has the meaning of ""when""","","","","","","","","","478"
"3487","nā-sī","","na7-si7","","nā-sī","","na7-si7","","假如","if","","","","","","","","","479"
"3488","nā-ū","","na7-u7","","nā-ū","","na7-u7","","假如有","if there is, if there are","","","","","","","","","479"
"3489","ná chhin-chhiūⁿ","","na2 chhin-chhiunn7","","ná tshin-tshiūnn","","na2 tshin-tshiunn7","","正如、好像","it looks like, just as if","","","","","Chit ê lâng nā chhin-chhiūⁿ boeh khí-siáu.","It looks like this guy is going crazy.","這個人好像要發狂","","479"
"3490","ná","","na2","","ná","","na2","","為什麼","why? same as [an3-chuann2]","","","","","","","","","479"
"3491","ná...ná...","","na2...na2...","","ná...ná...","","na2...na2...","","越...越...、像...像...","the more...the same, to do two things at one time","","","","","Lí chí ê chhài ná chia̍h ná hó-chia̍h./Nā chò-kang, ná liām-keng./Ná kiâⁿ-lō͘, ná kóng-ōe./Ná khòaⁿ-chheh, nā thiaⁿ siu-im-ki.","The more I eat your cooking the more I like it.\To work and pray at the same time.\To talk while walking along.\To listen to the radio, while reading.","你烹調的菜愈吃愈好吃/一面做工，一面念經/一面走路，一面講話/一面看書，一面聽收音機","","479"
"3492","nâ","","na5","","nâ","","na5","","籃","a basket (with a handle)","","chi̍t kha","","","","","","","480"
"3493","nâ-kûi","","na5-kui5","","nâ-kuî","","na5-kui5","","籃球","basketball","","","phah nâ-kiû/nâ-kiû ê pí-sài/nâ-kiû-ê/tîn-nâ","","","","","","480"
"3494","phah nâ-kiû","","phah na5-kiu5","","phah nâ-kiû","","phah na5-kiu5","","打藍球","to play basketball","","","","","","","","nâ-kûi","480"
"3495","nâ-kiû ê pí-sài","","na5-kiu5 e5 pi2-sai3","","nâ-kiû ê pí-sài","","na5-kiu5 e5 pi2-sai3","","籃球比賽","a basketball game","","","","","","","","nâ-kûi","480"
"3496","nâ-kiû-ê","","na5-kiu5-e5","","nâ-kiû-ê","","na5-kiu5-e5","","籃球鞋","basketball shoes","","","","","","","","nâ-kûi","480"
"3497","tîn-nâ","","tin5-na5","","tîn-nâ","","tin5-na5","","藤籃","a rattan basket","","","","","","","","nâ-kûi","480"
"3498","ǹg-bāng","","ng3-bang7","","ǹg-bāng","","ng3-bang7","","盼望","to hope, to expect","","","","","Chò-sit lâng lóng teh ǹg-bāng hó siu-sêng.","Farmers always hope they will have a good harvest.","農人都盼望好的收穫","","480"
"3499","ng-á","","ng-a2","","ng-á","","ng-a2","","秧、禾苗","small rice plants","","","","","","","","","480"
"3500","ng-chioh","","ng-chioh","","ng-tsioh","","ng-tsioh","","苗床","a bed for the small rice plants","","","","","","","","","480"
"3501","n̂g","","ng5","","n̂g","","ng5","","黃","yellow, a common clan name","","","n̂g sin-seⁿ","","","","","","480"
"3502","n̂g sin-seⁿ","n̂g sian-siⁿ","ng5 sin-senn","ng5 sian-sinn","n̂g sin-senn","n̂g sian-sinn","ng5 sin-senn","ng5 sian-sinn","黃先生","Mr. [Ng5]","","","","","","","","n̂g","480"
"3503","ńg","","ng2","","ńg","","ng2","","影、蔭","a shadow, shade","","","chhiū-á ńg","","","","","","481"
"3504","chhiū-á ńg","","chhiu7-a2 ng2","","tshiū-á ńg","","tshiu7-a2 ng2","","樹蔭","the shade of a tree","","","","","","","","ńg","481"
"3505","ngī","ngē","ngi7","nge7","ngī","ngē","ngi7","nge7","硬","stiff (cannot be bent, as a stick, wrie or rope)","","","","nńg","Saⁿ lí m̄-thang chiuⁿ siuⁿ ngī, góa ài chhēng nńg--ê.","Don’t starch the clothes too stiff, I like to wear soft clothes.","衣服你不要漿得太硬，我喜歡穿軟的","","481"
"3506","ngiau","","ngiau","","ngiau","","ngiau","","使發癢","to tickle","","","ē ngiau","","Góa chin kiaⁿ ngiau, m̄-thang kā góa ngiau.","I am very ticklish, don’t tickle me.","我很怕癢，不要癢我","","481"
"3507","ē ngiau","","e7 ngiau","","ē ngiau","","e7 ngiau","","癢癢的感覺","to be ticklish, feel titillation","","","","","Góa kha-té ê ngiau, m̄-thang kā góa ngiau.","The sole of my foot is ticklish, don’t  tickle me.","我的腳底會癢，不要癢我","ngiau","481"
"3508","ngó͘-siōng","","ngoo2-siong7","","ngóo-siōng","","ngoo2-siong7","","偶像","an idol","","","pài ngó͘-siōng","","","","","","481"
"3509","pài ngó͘-siōng","","pai3 ngoo2-siong7","","pài ngóo-siōng","","pai3 ngoo2-siong7","","拜偶像","to worship idols","","","","","","","","ngó͘-siōng","481"
"3510","nî","","ni5","","nî","","ni5","","年","a year","","","kin-nî/mê-nî/āu-nî/kū-nî/koh nn̄g nî/pún-nî/sin-nî/kòe-nî","","","","","","482"
"3511","kin-nî","","kin-ni5","","kin-nî","","kin-ni5","","今年","this year","","","","","","","","nî","482"
"3512","mê-nî","","me5-ni5","","mê-nî","","me5-ni5","","明年","next year","","","","","","","","nî","482"
"3513","āu-nî","","au7-ni5","","āu-nî","","au7-ni5","","後年","the year after next year","","","","","","","","nî","482"
"3514","kū-nî","","ku7-ni5","","kū-nî","","ku7-ni5","","去年","last year","","","","","","","","nî","482"
"3515","koh nn̄g nî","","koh nng7 ni5","","koh nn̄g nî","","koh nng7 ni5","","過兩年、兩年後","after two years","","","","","","","","nî","482"
"3516","pún-nî","","pun2-ni5","","pún-nî","","pun2-ni5","","本年","this year","","","","","","","","nî","482"
"3517","sin-nî","","sin-ni5","","sin-nî","","sin-ni5","","新年","New Year's","","","","","","","","nî","482"
"3518","kòe-nî","","koe3-ni5","","kuè-nî","","kue3-ni5","","過年","to celebrate New Year's","","","","","","","","nî","482"
"3519","ní","","ni2","","ní","","ni2","","染","to dye","","","","","Góa chit niá saⁿ ài ní âng-sek--ê.","I want this shirt dyed red .","我這件衣服要染紅色","","482"
"3520","nì kha-bóe","","ni3 kha-boe2","","nì kha-bué","","ni3 kha-bue2","","舉、踵","to stand on tiptoe","","","","","Lí khǹg tī hiah koân, góa nih-kha-bóe iáu-kú the̍h bē tio̍h./I nih-kha-bóe teh kiâⁿ.","You put it up so high, if I stand on the tip of my toes, I still can’t reach it.\He is walking tiptoed.","你放得那麼高，我舉起腳跟還拿不到/他躡足而行","","482"
"3521","nî-ko͘","nî-ko͘","ni5-koo","ni5-koo","nî-koo","nî-koo","ni5-koo","ni5-koo","尼姑","a buddhist nun","","","","","","","","","483"
"3522","nî-ko͘-am","","ni5-koo-am","","nî-koo-am","","ni5-koo-am","","尼姑庵","a buddhist nunnery (convent)","","","","","","","","","483"
"3523","niá","","nia2","","niá","","nia2","","件","cl. for clothing","","","","","","","","","483"
"3524","chi̍t niá khò͘","","chit8 nia2 khoo3","","tsi̍t niá khòo","","tsit8 nia2 khoo3","","一件褲子","a pair of trousers","","","","","","","","","483"
"3525","niá","","nia2","","niá","","nia2","","領","to receive","","","niá sèng-thé/niá chîⁿ","","","","","","483"
"3526","niá sèng-thé","","nia2 seng3-the2","","niá sìng-thé","","nia2 sing3-the2","","領聖體","to receive Holy Communion","","","","","","","","niá","483"
"3527","niá chîⁿ","","nia2 chinn5","","niá tsînn","","nia2 tsinn5","","領錢","to receive money","","","","","","","","niá","483"
"3528","niā-niā","niā-tiāⁿ","nia7-nia7","nia7-tiann7","niā-niā","niā-tiānn","nia7-nia7","nia7-tiann7","僅僅、而已","only","","","","","Góa chi̍t ē boeh khì niā-niā.","I am the only one who is going.","僅僅我一個要去","","483"
"3529","niau","","niau","","niau","","niau","","貓","a cat","","chi̍t chiah","niau-á-kiáⁿ","","","","","","483"
"3530","niau-á-kiáⁿ","","niau-a2-kiann2","","niau-á-kiánn","","niau-a2-kiann2","","小貓","kittens","","","","","","","","niau","483"
"3531","niáu-chhí","","niau2-chhi2","","niáu-tshí","","niau2-tshi2","","老鼠","a rat","","chi̍t chiah","niáu-chhí tng","","","","","","484"
"3532","niáu-chhí tng","","niau2-chhi2 tng","","niáu-tshí tng","","niau2-tshi2 tng","","捉老鼠的圈套","a rat trap","","","","","","","","niáu-chhí","484"
"3533","niau","niau-niau","niau","niau-niau","niau","niau-niau","niau","niau-niau","有痘痕","pockmark","","","","","","","","","484"
"3534","ni̍h","","nih8","","ni̍h","","nih8","","裡","in, at","","","","","","","","","484"
"3535","nih","","nih","","nih","","nih","","瞬","twinkle","","","chi̍t ba̍k nih-á","","","","","","484"
"3536","chi̍t ba̍k nih-á","","chit8 bak8 nih-a2","","tsi̍t ba̍k nih-á","","tsit8 bak8 nih-a2","","一瞬間","in a twinkling of the eye","","","","","","","","nih","484"
"3537","ni̍h","","nih8","","ni̍h","","nih8","","握","to grasp (with the hand), squeeze","","","","","Góa kap i ak-chhiú ê sī, hō͘ i ni̍h chin thiàⁿ./Hit-chiah chiáu-á ē hō͘ lí ni̍h sí--khì.","When I shook hands with him, he squeezed my hand and made it hurt.\You will squeeze that bird to death.","我和他握手時被他握得很痛/那隻鳥會被你抓死","","484"
"3538","niû","","niu5","","niû","","niu5","","量","to measure","","","niû khòaⁿ--bāi-lè","","Lí ná boeh chò-saⁿ tio̍h-ài tāi-seng niû seng-khu.","If you want to have a garment made, you must first have your measurements taken.","你若要做衣服，就要首先量身材","","485"
"3539","niû khòaⁿ--bāi-lè","","niu5 khoann3--bai7-le3","","niû khuànn--bāi-lè","","niu5 khuann3--bai7-le3","","量量看","Measure it","","","","","","","","niû","485"
"3540","niū","","niu7","","niū","","niu7","","衡量、秤","to weigh","","","niū-á","","","","","","485"
"3541","niū-á","","niu7-a2","","niū-á","","niu7-a2","","秤、天秤","a scale","","chi̍t ki","","","Lín nn̄g ê kng, góa-lâi niû.","You two lift it, I’ll weigh it.","你們兩個抬，我來秤","niū","485"
"3542","niú","","niu2","","niú","","niu2","","兩","an ounce","","","","","","","","","485"
"3543","niû-á","","niu5-a2","","niû-á","","niu5-a2","","蠶","the silkworm","","chi̍t bóe","","","","","","","485"
"3544","niū","","niu7","","niū","","niu7","","讓","to concede to a person, to yield to","","","sio-niū","","Lí khah tōa-hàn, tio̍h-ài niū sió-tī.","You are older, you should give in to your younger brother.","你較大，得讓弟弟","","485"
"3545","sio-niū","","sio-niu7","","sio-niū","","sio-niu7","","相讓","to concede mutually, to make concessions","","","","","Ta̍k-ke nā sio-niū it-tēng bē oan-ke.","If you all make some concessions, you  certainly will not quarrel.","大家相讓就一定不會吵架","niū","486"
"3546","nńg","","nng2","","nńg","","nng2","","軟","soft","","","","tēng","","","","","486"
"3547","nńg-phìⁿ","","nng2-phinn3","","nńg-phìnn","","nng2-phinn3","","軟片","fuse wire","","","","","","","","","486"
"3548","nńg-sòaⁿ","","nng2-soann3","","nńg-suànn","","nng2-suann3","","保險絲、軟線","a film (for a camera)","","","","","","","","","486"
"3549","nn̄g","","nng7","","nn̄g","","nng7","","蛋、卵","an egg","","","ke nn̄g/ah nn̄g/hóe-ke-nn̄g/nn̄g-jîn/nn̄g-pe̍h","","","","","","486"
"3550","ke nn̄g","","ke nng7","","ke nn̄g","","ke nng7","","雞蛋","hen's egg","","","","","","","","nn̄g","486"
"3551","ah nn̄g","","ah nng7","","ah nn̄g","","ah nng7","","鴨卵","duck's egg","","","","","","","","nn̄g","486"
"3552","hóe-ke-nn̄g","","hoe2-ke-nng7","","hué-ke-nn̄g","","hue2-ke-nng7","","火雞卵","turkey's egg","","","","","","","","nn̄g","486"
"3553","nn̄g-jîn","","nng7-jin5","","nn̄g-jîn","","nng7-jin5","","蛋黃","yolk of eggs","","","","","","","","nn̄g","486"
"3554","nn̄g-pe̍h","","nng7-peh8","","nn̄g-pe̍h","","nng7-peh8","","蛋白","white of eggs.","","","","","","","","nn̄g","486"
"3555","nn̄g","","nng7","","nn̄g","","nng7","","兩、二","two","","","","","","","","","486"
"3556","nōa","chhùi-nōa","noa7","chhui3-noa7","nuā","tshuì-nuā","nua7","tshui3-nua7","唾液","saliva","","","lâu-nōa","","","","","","487"
"3557","lâu-nōa","","lau5-noa7","","lâu-nuā","","lau5-nua7","","唾涎","run at the mouth, (one's mouth waters)","","","","","Chit ê sè-hàn gín-á chin gâu lâu-nōa.","This child is always running  at the mouth (slobbering).","這個小孩子很會流口涎","nōa","487"
"3558","phùi chhùi-nōa","","phui3 chhui3-noa7","","phuì tshuì-nuā","","phui3 tshui3-nua7","","吐唾液","to spit","","","","","","","","","487"
"3559","nōa","","noa7","","nuā","","nua7","","腐爛、腐蝕","rotten, to decay, to corrode, to rot","","","","","Kóe-chí (o̤ chhiⁿ-chhài) khǹg kú ē nōa--khì.","If you leave fruit (or vegetables)  in a place a long time, it will rot. (go bad).","水果（青菜）放久了就會爛","","487"
"3560","nōa","","noa7","","nuā","","nua7","","柔軟的","tender, soft (due to cooking)","","","","","Bah (o̤ chhài) tio̍h chú khah nōa--lè.","The meat (or vegetables) should be cooked until is softer.","肉（菜）必須煮得軟一點","","487"
"3561","o-ló","","o-lo2","","o-ló","","o-lo2","","稱讚","to praise, flatter","","","","","Lí chin gâu o-ló.","You are very good at passing out compliments.","你很會稱讚","","487"
"3562","ô-á","","o5-a2","","ô-á","","o5-a2","","蠔","oyster","","chi̍t nī/bóe","","","","","","","488"
"3563","o͘-tho͘-bái","","oo-thoo-bai2","","oo-thoo-bái","","oo-thoo-bai2","","機器腳踏車","a motorcycle","","chi̍t tâi","","","","","","","488"
"3564","o͘-pe̍h","","oo-peh8","","oo-pe̍h","","oo-peh8","","隨便","carelessly","","","o͘-pe̍h kóng","","","","","","488"
"3565","o͘-pe̍h kóng","","oo-peh8 kong2","","oo-pe̍h kóng","","oo-peh8 kong2","","亂講","to say any old thing","","","","","","","","o͘-pe̍h","488"
"3566","o͘-ian","","oo-ian","","oo-ian","","oo-ian","","煤煙","soot (lit. black smoke)","","","","","","","","","488"
"3567","ō͘-á","","oo7-a2","","ōo-á","","oo7-a2","","芋","the taro root.","","chi̍t lia̍p/tâi","","","","","","","488"
"3568","óa-khò","","oa2-kho3","","uá-khò","","ua2-kho3","","依靠","to depend upon, rely upon","","","","","I chi̍t ke cha̍p ê lâng, lóng óa-khò î chi̍t ê teh seng-oa̍h.","His family has ten persons, they all depend upon him for their livelihood.","他一家十個人都依靠他一個在生活","","488"
"3569","óa","kong-hun","oa2","kong-hun","uá","kong-hun","ua2","kong-hun","瓦、公分","a gram","","","","","","","","","489"
"3570","óa","","oa2","","uá","","ua2","","接近、靠近","to go near","","","","","","","","","489"
"3571","khah óa lâi","","khah oa2 lai5","","khah uá lâi","","khah ua2 lai5","","靠近一點來","come closer","","","","","","","","","489"
"3572","m̄-thang óa-khì","","m7-thang oa2-khi3","","m̄-thang uá-khì","","m7-thang ua2-khi3","","不要靠近去","Don't go near it.","","","","","","","","","489"
"3573","óaⁿ","","oann2","","uánn","","uann2","","碗","a bowl","","chi̍t tè","pn̄g-óaⁿ/chi̍t óaⁿ pn̄g/óaⁿ-pôaⁿ/siu oaⁿ-pôaⁿ","","","","","","489"
"3574","pn̄g-óaⁿ","","png7-oann2","","pn̄g-uánn","","png7-uann2","","飯碗","a rice bowl","","chi̍t tè","","","","","","óaⁿ","489"
"3575","chi̍t óaⁿ pn̄g","","chit8 oann2 png7","","tsi̍t uánn pn̄g","","tsit8 uann2 png7","","一碗飯","a bowl of rice","","","","","","","","óaⁿ","489"
"3576","óaⁿ-pôaⁿ","","oann2-poann5","","uánn-puânn","","uann2-puann5","","碗盤","dishes","","","","","","","","óaⁿ","489"
"3577","siu oaⁿ-pôaⁿ","","siu oann-poann5","","siu uann-puânn","","siu uann-puann5","","收拾碗盤","to collect the dishes (e.g. after meal)","","","","","","","","óaⁿ","489"
"3578","ōaⁿ","","oann7","","uānn","","uann7","","換","to exchange one thing for another","","","ōaⁿ-saⁿ/ōaⁿ-chîⁿ/ōaⁿ chheng-khì ê","","","","","","489"
"3579","ōaⁿ-saⁿ","","oann7-sann","","uānn-sann","","uann7-sann","","換衣服","to change one's clothes","","","","","","","","ōaⁿ","489"
"3580","ōaⁿ-chîⁿ","","oann7-chinn5","","uānn-tsînn","","uann7-tsinn5","","換錢","to change money","","","","","","","","ōaⁿ","489"
"3581","ōaⁿ chheng-khì ê","","oann7 chheng-khi3 ê","","uānn tshing-khì ê","","uann7 tshing-khi3 ê","","換清淨的","change to a clean one (e.g. a tablecloth or bed sheet)","","","","","","","","ōaⁿ","489"
"3582","òaⁿ","","oann3","","uànn","","uann3","","晚、遲、慢","late","","","","chá","Lín ná chiah òaⁿ lâi?","How come you’re so late?","你怎麼這麼慢來","","490"
"3583","oa̍h","","oah8","","oa̍h","","uah8","","活","alive","","","iáu teh oa̍h/koh oa̍h","","","","","","490"
"3584","iáu teh oa̍h","","iau2 teh oah8","","iáu teh ua̍h","","iau2 teh uah8","","還活著","still living","","","","","","","","oa̍h","490"
"3585","koh oa̍h","","koh oah8","","koh ua̍h","","koh uah8","","再活","to come back to life","","","","","","","","oa̍h","490"
"3586","oân-lîm","","oan5-lim5","","uân-lîm","","uan5-lim5","","員林","Oan Lim (name of place)","","","","","","","","","490"
"3587","oân-ná","","oan5-na2","","uân-ná","","uan5-na2","","又、亦、還是、也","also, and","","","","","Góa chang-àm bô khí sèng- tn̂g, lí oân-ná bô khì, sī--bô?","I didn’t go to Church last night, you did not go either, is that right?","我昨天晚上沒有去聖堂，你也沒有去，是不是？","","490"
"3588","oân-boán","","oan5-boan2","","uân-buán","","uan5-buan2","","圓滿","complete, perfect","","","","","","","","","490"
"3589","oan-ke","","oan-ke","","uan-ke","","uan-ke","","吵架","to quarrel","","","","","Góa hōng-kàu liáu-āu, ang-bó͘ lóng m̄-bat oan-ke.","After I entered the Church, my wife and I have not quarreled at all.","我奉教以後，夫婦未曾打架","","490"
"3590","oan","","oan","","uan","","uan","","彎、曲","crooked, deceitful","","","","ti̍t","Sim-koaⁿ nā oan, chò tāi-chì chiū bē-ti̍t.","If the heart is deceitful, one will not be sincere in doing things.","心不正則做事就不正直","","491"
"3591","oàn-hīn","","oan3-hin7","","uàn-hīn","","uan3-hin7","","怨恨","to hate, hate","","","","","Nā oàn-hīn--lâng, sim-koaⁿ chū-jiân bē pêng-an.","If we hate people, our hearts (minds) will not be at ease.","若怨恨他人心自然不會平安","","491"
"3592","oân-se̍ng","","oan5-seng8","","uân-si̍ng","","uan5-sing8","","完成","to complete, to perfect, completion","","","","","Lí chò kàu tang-sî chiah ē oân-sêng?","How long will it be before you complete this?","你做到何時才能完成？","","491"
"3593","oán-chiok","","oan2-chiok","","uán-tsiok","","uan2-tsiok","","遠足","a long walk, to hike","","","","","Goán lāu-su boeh chhōa goán khì oán-chiok.","Our teacher wants to take us out for a hike.","我們的老師要帶我們去遠足","","491"
"3594","oa̍t","","oat8","","ua̍t","","uat8","","轉","to turn around in the opposite","","","","","","","","","492"
"3595","oat","","oat","","uat","","uat","","轉向","to turn","","","","","","","","","492"
"3596","oa̍t-thâu","","oat8-thau5","","ua̍t-thâu","","uat8-thau5","","轉頭","to turn around","","","","","Góa chi̍t ē oa̍t-thâu (ê sî), khòaⁿ-kìⁿ lí poa̍h-tó.","As soon as I turned my head turned around) I saw you fall over.","我一轉頭就看見你跌倒","","492"
"3597","oat chiàⁿ chhiú-pêng","","oat chiann3 chhiu2-peng5","","uat tsiànn tshiú-pîng","","uat tsiann3 tshiu2-ping5","","向右轉","turn off to the right","","","","","","","","","492"
"3598","oat tò chhiú pêng","","oat to3 chhiu2 peng5","","uat tò tshiú pîng","","uat to3 tshiu2 ping5","","向左轉","turn to the left","","","","","","","","","492"
"3599","ōe","","oe7","","uē","","ue7","","話","a word, speech","","chi̍t kù","tâi-oân-ōe/ji̍t-pún-ōe/tek-kok-ōe/hoat-kok-ōe/se-pan-gê-ōe","","","","","","492"
"3600","tâi-oân-ōe","","tai5-oan5-oe7","","tâi-uân-uē","","tai5-uan5-ue7","","台灣話","Taiwanese","","","","","","","","ōe","492"
"3601","ji̍t-pún-ōe","","jit8-pun2-oe7","","ji̍t-pún-uē","","jit8-pun2-ue7","","日本話","Japanese","","","","","","","","ōe","492"
"3602","tek-kok-ōe","","tek-kok-oe7","","tik-kok-uē","","tik-kok-ue7","","德國話","Gernan","","","","","","","","ōe","492"
"3603","hoat-kok-ōe","","hoat-kok-oe7","","huat-kok-uē","","huat-kok-ue7","","法國話","French","","","","","","","","ōe","492"
"3604","se-pan-gê-ōe","","se-pan-ge5-oe7","","se-pan-gê-uē","","se-pan-ge5-ue7","","西班牙話","Spanish","","","","","","","","ōe","492"
"3605","ōe-seng","","oe7-seng","","uē-sing","","ue7-sing","","衛生","sanitation, hygiene","","","","","","","","","493"
"3606","ōe-tô͘","","oe7-too5","","uē-tôo","","ue7-too5","","畫圖","a clinic","","","","","","","","","493"
"3607","ōe-seng-só͘","","oe7-seng-soo2","","uē-sing-sóo","","ue7-sing-soo2","","衛生所","to draw pictures","","","","","","","","","493"
"3608","o̍h","","oh8","","o̍h","","oh8","","學、學習","to learn","","","o̍h tō-lí","","","","","","493"
"3609","o̍h tō-lí","","oh8 to7-li2","","o̍h tō-lí","","oh8 to7-li2","","學道理","to learn (or to study) the doctrine","","","","","","","","o̍h","493"
"3610","oh","","oh","","oh","","oh","","困難","difficult","","","chin oh o̍h","khoài","","","","","493"
"3611","chin oh o̍h","","chin oh oh8","","tsin oh o̍h","","tsin oh oh8","","很難學","very difficult to learn","","","","","","","","oh","493"
"3612","ông","kok-ông","ong5","kok-ong5","ông","kok-ông","ong5","kok-ong5","王、國王","a king","","","kàu-hông","","","","","","493"
"3613","kàu-hông","kàu-ông","kau3-hong5","kau3-ong5","kàu-hông","kàu-ông","kau3-hong5","kau3-ong5","教皇、教王","the Holy Father; the Pope","","","","","","","","ông","493"
"3614","ông-lâi","","ong5-lai5","","ông-lâi","","ong5-lai5","","鳳梨","a pineapple","","chi̍t lia̍p","","","","","","","493"
"3615","óng-lâi","lâi-óng","ong2-lai5","lai5-ong2","óng-lâi","lâi-óng","ong2-lai5","lai5-ong2","往來、來往、交際","to associate with","","","","","Góa kap i chin kú bô óng-lâi (lâi-óng).","I have not associated with him for a long time.","我和他很久沒往來","","493"
"3616","óng-ho̍k","","ong2-hok8","","óng-ho̍k","","ong2-hok8","","往復、來回","going and returning","","","","","","","","","494"
"3617","óng-ho̍k-phiò","","ong2-hok8-phio3","","óng-ho̍k-phiò","","ong2-hok8-phio3","","來回車票","a return ticket","","","","","","","","","494"
"3618","pá","","pa2","","pá","","pa2","","飽","is full, satiated","","","chia̍h pá/chia̍h pòaⁿ pá/khún-pá/chhit-thô bē pá/lim pá/chhùi pá","","","","","","494"
"3619","chia̍h pá","","chiah8 pa2","","tsia̍h pá","","tsiah8 pa2","","吃飽","filled with food, satiated, to eat enough","","","","","Chia̍h-pá khùn , khùn-pá chia̍h.","To stuff oneself with food, then sleep, after sleeping to eat again. (A person is very lazy.)","吃飽就睡，睡飽就吃","pá","494"
"3620","chia̍h pòaⁿ pá","","chiah8 poann3 pa2","","tsia̍h puànn pá","","tsiah8 puann3 pa2","","吃半飽","to eat half a meal, to fast","","","","","","","","pá","494"
"3621","khún-pá","","khun2-pa2","","khún-pá","","khun2-pa2","","睡飽","to get enough sleep","","","","","Chia̍h-pá khùn , khùn-pá chia̍h./Lí chang-àm khùn ū pá--bô?","To stuff oneself with food, then sleep, after sleeping to eat again. (A person is very lazy.)\Did you get enough sleep last night?","吃飽就睡，睡飽就吃/你昨晚睡得飽不飽？","pá","494"
"3622","chhit-thô bē pá","","chhit-tho5 be7 pa2","","tshit-thô bē pá","","tshit-tho5 be7 pa2","","玩不夠","not enough recreation","","","","","Lí chhit-thô liáu kám bô pá?","Haven’t you had enough play yet?","你玩得還不夠嗎？","pá","494"
"3623","lim pá","","lim pa2","","lim pá","","lim pa2","","喝夠了","to have drunk enough","","","","","","","","pá","494"
"3624","chhùi pá","","chhui3 pa2","","tshuì pá","","tshui3 pa2","","吃夠了","hunger is satisfied","","","","","Chhùi pá ba̍k bô pá.","Though having eaten to the full, he still sees things he wants to eat.","雖然吃飽了，眼睛一看到就又想吃","pá","495"
"3625","pà","","pa3","","pà","","pa3","","豹","a leopard","","chi̍t chiah","","","","","","","495"
"3626","pái","","pai2","","pái","","pai2","","次、回","times, (once, twice etc.)","","","āu-pái/téng-pái/chin chē pái/chi̍t pái/chit pái/ta̍k-pái/kúi-nā-pái","","","","","","495"
