"id","poj_unicode","poj_input","kip_unicode","kip_input","hanlo_taibun_poj","hanlo_taibun_kip","hoabun","english","poochhiong_chuliau","muithe_miachheng","hongsang_jitki","liankiat"
"1483","Phō chi̍t-chiah mn̂g/mo͘ phòng-sai-sai ê chhâ-khián","Pho7 chit8-chiah mng5/moo phong3-sai-sai e5 chha5-khian2","Phō tsi̍t-tsiah mn̂g/moo phòng-sai-sai ê tshâ-khián","Pho7 tsit8-tsiah mng5/moo phong3-sai-sai e5 tsha5-khian2","抱一隻毛膨sai-sai ê柴犬","抱一隻毛膨sai-sai ê柴犬","抱著一隻毛茸茸的柴犬","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1484","Bāng-lō͘ thàng-sù-hái ê thoân-pò͘ lêng-le̍k","Bang7-loo7 thang3-su3-hai2 e5 thoan5-poo3 leng5-lek8","Bāng-lōo thàng-sù-hái ê thuân-pòo lîng-li̍k","Bang7-loo7 thang3-su3-hai2 e5 thuan5-poo3 ling5-lik8","網路迵四海ê傳播能力","網路迵四海ê傳播能力","網路無遠弗屆的傳播力","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1485","M̄-nā khòaⁿ ê lâng saⁿh--tio̍h, Hân-kok mā tòe leh khai-sí siáu chhâ-khián","M7-na7 khoann3 e5 lang5 sannh--tioh8, Han5-kok ma7 toe3 leh khai-si2 siau2 chha5-khian2","M̄-nā khuànn ê lâng sannh--tio̍h, Hân-kok mā tuè leh khai-sí siáu tshâ-khián","M7-na7 khuann3 e5 lang5 sannh--tioh8, Han5-kok ma7 tue3 leh khai-si2 siau2 tsha5-khian2","毋但看ê人saⁿh--著，韓國嘛綴咧開始痟柴犬","毋但看ê人sannh--著，韓國嘛綴咧開始痟柴犬","不止融化觀看者的心，也帶動南韓的柴犬熱","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1486","iú-siān-kong-chhia","iu2-sian7-kong-chhia","iú-siān-kong-tshia","iu2-sian7-kong-tshia","友善公車","友善公車","友善公車","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1487","iú-siān-siong-tiàm","iu2-sian7-siong-tiam3","iú-siān-siong-tiàm","iu2-sian7-siong-tiam3","友善商店","友善商店","友善商店","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1488","tōng-bu̍t-pó-hō͘-hoat","tong7-but8-po2-hoo7-hoat","tōng-bu̍t-pó-hōo-huat","tong7-but8-po2-hoo7-huat","動物保謢法","動物保謢法","動物保謢法","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1489","chū-lu̍t-sîn-keng","chu7-lut8-sin5-keng","tsū-lu̍t-sîn-king","tsu7-lut8-sin5-king","自律神經","自律神經","自律神經","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1490","tōng-bu̍t-phoaⁿ","tong7-but8-phoann","tōng-bu̍t-phuann","tong7-but8-phuann","動物伴","動物伴","寵物","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1491","chhù-lāi-lâng","chhu3-lai7-lang5","tshù-lāi-lâng","tshu3-lai7-lang5","厝內人","厝內人","家人","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1492","hiáng-èng","hiang2-eng3","hiáng-ìng","hiang2-ing3","響應","響應","響應","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1493","cháu-sio-jiok","chau2-sio-jiok","tsáu-sio-jiok","tsau2-sio-jiok","走相逐","走相逐","你追我跑、追逐、賽跑","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1494","cháu-sio-lip","chau2-sio-lip","tsáu-sio-lip","tsau2-sio-lip","走相逐","走相逐","你追我跑、追逐、賽跑","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1495","cháu-sio-jip","chau2-sio-jip","tsáu-sio-jip","tsau2-sio-jip","走相逐","走相逐","你追我跑、追逐、賽跑","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1496","cháu-sio-chip","chau2-sio-chip","tsáu-sio-tsip","tsau2-sio-tsip","走相逐","走相逐","你追我跑、追逐、賽跑","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1497","cháu-sio-giok","chau2-sio-giok","tsáu-sio-giok","tsau2-sio-giok","走相逐","走相逐","你追我跑、追逐、賽跑","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1498","cháu-sio-jek","chau2-sio-jek","tsáu-sio-jik","tsau2-sio-jik","走相逐","走相逐","你追我跑、追逐、賽跑","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1499","pa̍k--khí-lâi","pak8--khi2-lai5","pa̍k--khí-lâi","pak8--khi2-lai5","縛--起-來","縛--起-來","結紮","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1500","hiān-chhú-sî","hian7-chhu2-si5","hiān-tshú-sî","hian7-tshu2-si5","現此時","現此時","現在","","","【民視台灣學堂】台語講世事","2018.11.08","https://youtu.be/tQNZPVsSNqs"
"1501","phiò-siuⁿ-á","phio3-siunn-a2","phiò-siunn-á","phio3-siunn-a2","票箱仔","票箱仔","票匭","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1502","kòa pó-chèng","koa3 po2-cheng3","kuà pó-tsìng","kua3 po2-tsing3","掛保證","掛保證","保證","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1503","ka-ia̍h","ka-iah8","ka-ia̍h","ka-iah8","交易","交易","踴躍/興盛/熱絡","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1504","chhòng-chè","chhong3-che3","tshòng-tsè","tshong3-tse3","創制","創制","創制","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1505","Chiàu-phín-chiàu-kiâⁿ","Chiau3-phin2-chiau3-kiann5","Tsiàu-phín-tsiàu-kiânn","Tsiau3-phin2-tsiau3-kiann5","照品照行","照品照行","","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1506","chē-chē àn chi̍t ê phiò-siuⁿ-á","che7-che7 an3 chit8 e5 phio3-siunn-a2","tsē-tsē àn tsi̍t ê phiò-siunn-á","tse7-tse7 an3 tsit8 e5 phio3-siunn-a2","濟濟案一个票箱仔","濟濟案一个票箱仔","多案一票匭","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1507","chi̍t-ē bô-sè-jī sit-kak-chhat, siuⁿ-á lok m̄-tio̍h--khì","chit8-e7 bo5-se3-ji7 sit-kak-chhat, siunn-a2 lok m7-tioh8--khi3","tsi̍t-ē bô-sè-jī sit-kak-tshat, siunn-á lok m̄-tio̍h--khì","tsit8-e7 bo5-se3-ji7 sit-kak-tshat, siunn-a2 lok m7-tioh8--khi3","一下無細膩失覺察，箱仔lok毋著--去","一下無細膩失覺察，箱仔lok毋著--去","一個不小心失誤，投錯票匭","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1508","Tiong-soán-hōe kòa-pó-chèng, ū lok--ê lóng chún-sǹg","Tiong-soan2-hoe7 koa3-po2-cheng3, u7 lok--e5 long2 chun2-sng3","Tiong-suán-huē kuà-pó-tsìng, ū lok--ê lóng tsún-sǹg","Tiong-suan2-hue7 kua3-po2-tsing3, u7 lok--e5 long2 tsun2-sng3","中選會掛保證，有lok--ê攏準算","中選會掛保證，有lok--ê攏準算","中選會承諾有投都算數","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1509","Pò-miâ chōng-hóng put-chí-á ka-ia̍h","Po3-mia5 chong7-hong2 put-chi2-a2 ka-iah8","Pò-miâ tsōng-hóng put-tsí-á ka-ia̍h","Po3-mia5 tsong7-hong2 put-tsi2-a2 ka-iah8","報名狀況不止仔ka-ia̍h","報名狀況不止仔ka-ia̍h","報名情況非常踴躍","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1510","Kui-sim pī-pān, bo̍k-phiau pòaⁿ-mê-sî-á/pòaⁿ-mî-sî-á chìn-chêng kā phiò khui soah.","Kui-sim pi7-pan7, bok8-phiau poann3-me5-si5-a2/poann3-mi5-si5-a2 chin3-cheng5 ka7 phio3 khui soah.","Kui-sim pī-pān, bo̍k-phiau puànn-mê-sî-á/puànn-mî-sî-á tsìn-tsîng kā phiò khui suah.","Kui-sim pi7-pan7, bok8-phiau puann3-me5-si5-a2/puann3-mi5-si5-a2 tsin3-tsing5 ka7 phio3 khui suah.","規心備辦，目標半暝時仔進前kā票開煞","規心備辦，目標半暝時仔進前kā票開煞","全力備戰，目標午夜前開票完畢","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1511","kong-bîn-tâu-phiò","kong-bin5-tau5-phio3","kong-bîn-tâu-phiò","kong-bin5-tau5-phio3","公民投票","公民投票","公民投票","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1512","sím-gī","sim2-gi7","sím-gī","sim2-gi7","審議","審議","審議","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1513","ìn-á","in3-a2","ìn-á","in3-a2","印仔","印仔","印章","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1514","gín-á","gin2-a2","gín-á","gin2-a2","囡仔","囡仔","小孩","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1515","ho̍k-koat","hok8-koat","ho̍k-kuat","hok8-kuat","複決","複決","複決","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1516","thê-àn","the5-an3","thê-àn","the5-an3","提案","提案","提案","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1517","liân-sú","lian5-su2","liân-sú","lian5-su2","連署","連署","連署","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1518","tǹg-phiò","tng3-phio3","tǹg-phiò","tng3-phio3","頓票","頓票","投票","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1519","sêng-àn","seng5-an3","sîng-àn","sing5-an3","成案","成案","成案","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1520","chún-sǹg","chun2-sng3","tsún-sǹg","tsun2-sng3","準算","準算","有效","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1521","Lún-khì kiû-châi, kek-khì sio-thâi.","Lun2-khi3 kiu5-chai5, kek-khi3 sio-thai5.","Lún-khì kiû-tsâi, kik-khì sio-thâi.","Lun2-khi3 kiu5-tsai5, kik-khi3 sio-thai5.","忍氣求財，激氣相刣。","忍氣求財，激氣相刣。","","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1522","Siáu-tham nǹg ke-lang/koe-lang.","Siau2-tham nng3 ke-lang/koe-lang.","Siáu-tham nǹg ke-lang/kue-lang.","Siau2-tham nng3 ke-lang/kue-lang.","痟貪軁雞籠。","痟貪軁雞籠。","","","","【民視台灣學堂】台語講世事","2018.11.15","https://youtu.be/n1e2GGR2f44"
"1523","tām-sám","tam7-sam2","tām-sám","tam7-sam2","啖糝","啖糝","品嘗","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1524","hùn-khoah","hun3-khoah","hùn-khuah","hun3-khuah","楦闊","楦闊","涵蓋/擴大","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1525","tèng-kin","teng3-kin","tìng-kin","ting3-kin","釘根","釘根","生根","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1526","lia̍h-ku-cháu-pih","liah8-ku-chau2-pih","lia̍h-ku-tsáu-pih","liah8-ku-tsau2-pih","掠龜走鱉","掠龜走鱉","","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1527","kóng chi̍t-ki tn̂g-tn̂g","kong2 chit8-ki tng5-tng5","kóng tsi̍t-ki tn̂g-tn̂g","kong2 tsit8-ki tng5-tng5","管(講)一支長長","管(講)一支長長","","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1528","kng-kiō m̄ kng-kiō, koán sin-niû pàng-jiō","kng-kio7 m7 kng-kio7, koan2 sin-niu5 pang3-jio7","kng-kiō m̄ kng-kiō, kuán sin-niû pàng-jiō","kng-kio7 m7 kng-kio7, kuan2 sin-niu5 pang3-jio7","扛轎毋扛轎，管新娘放尿","扛轎毋扛轎，管新娘放尿","","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1529","Kā chi̍t-phìⁿ-chi̍t-phìⁿ ê tàu-phìⁿ-á tàu--khí-lâi","Ka7 chit8-phinn3-chit8-phinn3 e5 tau3-phinn3-a2 tau3--khi2-lai5","Kā tsi̍t-phìnn-tsi̍t-phìnn ê tàu-phìnn-á tàu--khí-lâi","Ka7 tsit8-phinn3-tsit8-phinn3 e5 tau3-phinn3-a2 tau3--khi2-lai5","Kā一片一片ê鬥片仔鬥--起-來","Kā一片一片ê鬥片仔鬥--起-來","拚上一片片的拼圖","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1530","Chit pái beh koh ka chhui--lo̍h-khì","Chit pai2 beh koh ka chhui--loh8-khi3","Tsit pái beh koh ka tshui--lo̍h-khì","Tsit pai2 beh koh ka tshui--loh8-khi3","這擺閣ka催--落-去","這擺閣ka催--落-去","這回再接再勵","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1531","Kā ka-hiong ê bī tòa lâi hō͘ koh khah chē lâng tām-sám","Ka7 ka-hiong e5 bi7 toa3 lai5 hoo7 koh khah che7 lang5 tam7-sam2","Kā ka-hiong ê bī tuà lâi hōo koh khah tsē lâng tām-sám","Ka7 ka-hiong e5 bi7 tua3 lai5 hoo7 koh khah tse7 lang5 tam7-sam2","Kā家鄉ê味帶來予閣較濟人啖糝","Kā家鄉ê味帶來予閣較濟人啖糝","帶家鄉味給更多人品嘗","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1532","tàu-phìⁿ-á","tau3-phinn3-a2","tàu-phìnn-á","tau3-phinn3-a2","鬥片仔","鬥片仔","拚圖","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1533","Tī Tâi-oân ta̍k-ê kak-sì","Ti7 Tai5-oan5 tak8-e5 kak-si3","Tī Tâi-uân ta̍k-ê kak-sì","Ti7 Tai5-uan5 tak8-e5 kak-si3","佇台灣逐个角勢","佇台灣逐个角勢","在台灣各個角落","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1534","Iōng sin-bûn-hòa ê kak-tō͘ lâi khòaⁿ, têng-koh hoat-kiàn Tâi-oân.","Iong7 sin-bun5-hoa3 e5 kak-too7 lai5 khoann3, teng5-koh hoat-kian3 Tai5-oan5.","Iōng sin-bûn-huà ê kak-tōo lâi khuànn, tîng-koh huat-kiàn Tâi-uân.","Iong7 sin-bun5-hua3 e5 kak-too7 lai5 khuann3, ting5-koh huat-kian3 Tai5-uan5.","用新文化ê角度來看，重閣發現台灣","用新文化ê角度來看，重閣發現台灣","以新文化的視角，重新看見台灣","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1535","sin-î-bîn","sin-i5-bin5","sin-î-bîn","sin-i5-bin5","新移民","新移民","指和台灣人結婚的東南亞國家的女性","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1536","gōa-chek-sin-niû","goa7-chek-sin-niu5","guā-tsik-sin-niû","gua7-tsik-sin-niu5","外籍新娘","外籍新娘","外籍新娘","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1537","sin-chū-bîn","sin-chu7-bin5","sin-tsū-bîn","sin-tsu7-bin5","新住民","新住民","新住民","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1538","sin-jī-tāi","sin-ji7-tai7","sin-jī-tāi","sin-ji7-tai7","新二代","新二代","新二代","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1539","tèng-kun","teng3-kun","tìng-kun","ting3-kun","釘根","釘根","生根","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1540","a-tak-á","a-tak-a2","a-tak-á","a-tak-a2","阿啄仔","阿啄仔","外國人","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1541","tah-bā","tah-ba7","tah-bā","tah-ba7","tah-bā","tah-bā","貼近","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1542","tiong-lâng","tiong-lang5","tiong-lâng","tiong-lang5","中人","中人","仲介人","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1543","Am lâi chhé khì, ná-ū thang chhun?","Am lai5 chhe2 khi3, na2-u7 thang chhun?","Am lâi tshé khì, ná-ū thang tshun?","Am lai5 tshe2 khi3, na2-u7 thang tshun?","掩來扯去，那有通賰？","掩來扯去，那有通賰？","","","","【民視台灣學堂】台語講世事","2018.11.22","https://youtu.be/br73My7Y8Is"
"1544","pōng","pong7","pōng","pong7","磅","磅","量(體溫/血壓)","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1545","pêⁿ-khiā-khí","penn5-khia7-khi2","pênn-khiā-khí","penn5-khia7-khi2","平徛起","平徛起","平起平坐","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1546","pîⁿ-khiā-khí","pinn5-khia7-khi2","pînn-khiā-khí","pinn5-khia7-khi2","平徛起","平徛起","平起平坐","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1547","Ti un pò pún","Ti un po3 pun2","Ti un pò pún","Ti un po3 pun2","知恩報本","知恩報本","","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1548","Sio pn̄g sio chhiâⁿ","Sio png7 sio chhiann5","Sio pn̄g sio tshiânn","Sio png7 sio tshiann5","相傍相晟","相傍相晟","","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1549","Pōng hoeh-ap/huih-ap/hiat-ap, hō͘ i-seng khòaⁿ","Pong7 hoeh-ap/huih-ap/hiat-ap, hoo7 i-seng khoann3","Pōng hueh-ap/huih-ap/hiat-ap, hōo i-sing khuànn","Pong7 hueh-ap/huih-ap/hiat-ap, hoo7 i-sing khuann3","磅血壓、予醫生看","磅血壓、予醫生看","量血壓、醫生問診","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1550","Tùi Éng-chēng-hiong/Eán-chiān-hiong chiâⁿ-si̍t chin hó-khang.","Tui3 Eng2-cheng7-hiong/Ean2-chian7-hiong chiann5-sit8 chin ho2-khang.","Tuì Íng-tsīng-hiong/Eán-tsiān-hiong tsiânn-si̍t tsin hó-khang.","Tui3 Ing2-tsing7-hiong/Ean2-tsian7-hiong tsiann5-sit8 tsin ho2-khang.","對永靖鄉chiâⁿ實真好空","對永靖鄉tsiânn實真好空","對永靖鄉是一大福音","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1551","Lāu-tōa-lâng beh khòaⁿ-pēⁿ/khòaⁿ-pīⁿ.","Lau7-toa7-lang5 beh khoann3-penn7/khoann3-pinn7.","Lāu-tuā-lâng beh khuànn-pēnn/khuànn-pīnn.","Lau7-tua7-lang5 beh khuann3-penn7/khuann3-pinn7.","老大人欲看病","老大人欲看病","老人家看個醫生","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1552","Kā bāu--lâi ê só͘-chāi hông chò/chòe tiûⁿ-tē/tiûⁿ-tōe","Ka7 bau7--lai5 e5 soo2-chai7 hong5 cho3/choe3 tiunn5-te7/tiunn5-toe7","Kā bāu--lâi ê sóo-tsāi hông tsò/tsuè tiûnn-tē/tiûnn-tuē","Ka7 bau7--lai5 e5 soo2-tsai7 hong5 tso3/tsue3 tiunn5-te7/tiunn5-tue7","Kā貿--來ê所在hông做場地","Kā貿--來ê所在hông做場地","提供認養地方當場所","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1553","Sńg phĭn-phóng, kin-kut oa̍h-tāng--chi̍t-ē","Sng2 phin9-phong2, kin-kut oah8-tang7--chit8-e7","Sńg phi̋n-phóng, kin-kut ua̍h-tāng--tsi̍t-ē","Sng2 phin9-phong2, kin-kut uah8-tang7--tsit8-e7","耍phĭn-phóng，筋骨活動--一-下","耍phi̋n-phóng，筋骨活動--一-下","打桌球活動筋骨","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1554","hāⁿ-pō͘-hōe","hann7-poo7-hoe7","hānn-pōo-huē","hann7-poo7-hue7","hāⁿ-pō͘-hōe","hānn-pōo-huē","跨部會","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1555","pêng-téng","peng5-teng2","pîng-tíng","ping5-ting2","平等","平等","平等","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1556","pêng-khoân","peng5-khoan5","pîng-khuân","ping5-khuan5","平權","平權","平權","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1557","pêng-koân","peng5-koan5","pîng-kuân","ping5-kuan5","平權","平權","平權","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1558","chò-kang","cho3-kang","tsò-kang","tso3-kang","做工","做工","做工，工人","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1559","choh-sit","choh-sit","tsoh-sit","tsoh-sit","做穡","做穡","做工，種田","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1560","thó-hái","tho2-hai2","thó-hái","tho2-hai2","討海","討海","捕魚","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1561","chia̍h-thâu-lō͘","chiah8-thau5-loo7","tsia̍h-thâu-lōo","tsiah8-thau5-loo7","食頭路","食頭路","上班","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1562","pun-pheⁿ","pun-phenn","pun-phenn","pun-phenn","分伻","分伻","分配","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1563","chiâu-ûn","chiau5-un5","tsiâu-ûn","tsiau5-un5","齊勻","齊勻","平均","","","【民視台灣學堂】台語講世事","2018.11.29","https://youtu.be/9TGhXudoLgQ"
"1564","Sìn ê lâng ē it-tit sìn--lo̍h-khì","Sin3 e5 lang5 e7 it-tit sin3--loh8-khi3","Sìn ê lâng ē it-tit sìn--lo̍h-khì","Sin3 e5 lang5 e7 it-tit sin3--loh8-khi3","信ê人會一直信--落去","信ê人會一直信--落去","信者恆信","","相關詞：sìn--chià hêng sìn(信者恆信)","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1565","pō͘ -sò͘  pah-pah-khoán","poo7 -soo3  pah-pah-khoan2","pōo -sòo  pah-pah-khuán","poo7 -soo3  pah-pah-khuan2","步數百百款","步數百百款","花招百出","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1566","hó-chhái-thâu","ho2-chhai2-thau5","hó-tshái-thâu","ho2-tshai2-thau5","好彩頭","好彩頭","吉利","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1567","chí-bî-táu-sò͘","chi2-bi5-tau2-soo3","tsí-bî-táu-sòo","tsi2-bi5-tau2-soo3","紫微斗數","紫微斗數","紫微斗數","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1568","chúi-chhiⁿ tò-thâu-kiâⁿ","chui2-chhinn to3-thau5-kiann5","tsuí-tshinn tò-thâu-kiânn","tsui2-tshinn to3-thau5-kiann5","水星倒頭行","水星倒頭行","水星逆行","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1569","chúi-chheⁿ tò-thâu-kiâⁿ","chui2-chhenn to3-thau5-kiann5","tsuí-tshenn tò-thâu-kiânn","tsui2-tshenn to3-thau5-kiann5","水星倒頭行","水星倒頭行","水星逆行","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1570","mî-iûⁿ-chō","mi5-iunn5-cho7","mî-iûnn-tsō","mi5-iunn5-tso7","綿羊座","綿羊座","牡羊座","","相關詞：cha̍p-jī chhiⁿ-chō(十二星座)","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1571","siang-seⁿ-á-chō","siang-senn-a2-cho7","siang-senn-á-tsō","siang-senn-a2-tso7","雙生仔座","雙生仔座","雙子座","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1572","tōa-chîm-chō","toa7-chim5-cho7","tuā-tsîm-tsō","tua7-tsim5-tso7","大蟳座","大蟳座","巨蟹座","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1573","chāi-sek-lú-chō","chai7-sek-lu2-cho7","tsāi-sik-lú-tsō","tsai7-sik-lu2-tso7","在室女座","在室女座","處女座","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1574","giat-á-chō","giat-a2-cho7","giat-á-tsō","giat-a2-tso7","蠍仔座","蠍仔座","巨蠍座","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1575","soaⁿ-iûⁿ-chō","soann-iunn5-cho7","suann-iûnn-tsō","suann-iunn5-tso7","山羊座","山羊座","摩羯座","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1576","chúi-pân-chō","chui2-pan5-cho7","tsuí-pân-tsō","tsui2-pan5-tso7","水瓶座","水瓶座","水瓶座","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
"1577","Bōe/bē o̍h kiâⁿ, seng o̍h cháu.","Boe7/be7 oh8 kiann5, seng oh8 chau2.","Buē/bē o̍h kiânn, sing o̍h tsáu.","Bue7/be7 oh8 kiann5, sing oh8 tsau2.","未學行，先學走","未學行，先學走","","","","【民視台灣學堂】台語講世事","2018.12.06","https://youtu.be/Zxqty6mmgPg"
